0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 060839.987,5881,43689917,327,59.28,8145024,18.0,0.11057788000088463,
20240429 060847.405,5882,43697336,414,93.93,8146511,18.0,0.10329084636519513,
20240429 060855.970,5883,43705903,419,97.2,8148010,18.0,0.1030502885408079,
20240429 060859.537,5884,43709470,275,47.73,8148760,18.0,0.09992305924438183,
20240429 060908.306,5885,43718241,176,30.09,8150434,18.0,0.09265092836230218,
20240429 060919.890,5886,43729827,376,76.43,8152469,18.0,0.08373105584861425,
20240429 060927.865,5887,43737804,359,69.86,8153968,18.0,0.08437109783672506,
20240429 060929.339,5888,43739278,387,81.05,8154343,18.0,0.10340406171154404,
20240429 060933.487,5889,43743426,455,117.03,8155093,18.0,0.1852366398073539,
20240429 060936.599,5890,43746540,291,50.97,8155660,18.0,0.17664099484208295,
20240429 060952.469,5891,43762413,259,44.69,8158632,18.0,0.15369482355834257,
20240429 061000.857,5892,43770803,358,69.1,8160122,18.0,0.15411407523849152,
20240429 061004.561,5893,43774509,350,66.46,8160871,18.0,0.15378937007874016,
20240429 061006.977,5894,43776925,348,65.64,8161246,18.0,0.17044195599188697,
20240429 061016.453,5895,43786402,376,76.43,8163112,18.0,0.17679401729045488,
20240429 061018.024,5896,43787974,344,64.67,8163303,18.0,0.1993660160689009,
20240429 061025.841,5897,43795793,364,71.71,8164794,18.0,0.1769848854907791,
20240429 061047.458,5898,43817413,480,130.21,8168887,18.0,0.13518811426099417,
20240429 061049.422,5899,43819379,357,68.97,8169267,18.0,0.13731925353253782,
20240429 061105.275,5900,43835237,99,21.91,8172244,18.0,0.13735131719913193,
20240429 061105.519,5901,43835479,204,34.73,8172249,18.0,0.1546503355912282,
20240429 061108.879,5902,43838840,339,62.98,8172809,18.0,0.15547747131440653,
20240429 061120.845,5903,43850809,312,55.68,8175038,18.0,0.13537661775058213,
20240429 061126.906,5904,43856870,371,73.82,8176155,18.0,0.14193859736278086,
