0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 221417.163,2101,15221390,313,56.02,2830147,21.54,0.3105590062111801,
20240428 221424.620,2102,15228848,387,81.05,2831441,21.54,0.2590807813876367,
20240428 221433.173,2103,15237404,103,22.23,2833113,21.54,0.26270852489163277,
20240428 221437.431,2104,15241662,250,43.04,2833854,21.54,0.263845281127147,
20240428 221439.476,2105,15243708,348,65.64,2834227,21.76,0.2538393197106232,
20240428 221444.454,2106,15248686,428,101.58,2835157,21.54,0.22813341241958296,
20240428 221455.359,2107,15259595,51,15.86,2837210,21.54,0.18942981625307823,
20240428 221457.660,2108,15261894,312,55.68,2837582,21.54,0.18828845791752966,
20240428 221510.669,2109,15274905,387,81.05,2839984,21.44,0.18185455272872758,
20240428 221525.051,2110,15289290,423,97.36,2842769,21.44,0.14730143766203158,
20240428 221532.057,2111,15296297,312,55.68,2844074,21.54,0.14828654892714682,
20240428 221540.682,2112,15304924,419,97.2,2845553,21.54,0.14812839769512212,
20240428 221544.582,2113,15308823,476,129.76,2846298,21.54,0.14891810993134877,
20240428 221545.298,2114,15309542,345,64.98,2846489,21.54,0.15192488833520706,
20240428 221551.490,2115,15315733,121,23.66,2847604,21.33,0.1491735783757981,
20240428 221600.208,2116,15324453,307,54.48,2849260,21.54,0.1542043824885503,
20240428 221603.335,2117,15327581,399,87.3,2849820,21.54,0.15226494099733537,
20240428 221605.648,2118,15329894,423,97.36,2850199,21.33,0.18188762982229578,
20240428 221609.032,2119,15333279,368,72.93,2850945,21.44,0.2273709101657534,
20240428 221609.461,2120,15333708,364,71.71,2850950,21.76,0.26735108544540687,
20240428 221620.060,2121,15344309,348,65.64,2852997,21.44,0.25394890548021737,
20240428 221622.984,2122,15347233,355,68.3,2853559,21.54,0.2604031040049997,
20240428 221623.294,2123,15347544,353,67.64,2853564,21.54,0.26318559848405093,
20240428 221631.224,2124,15355475,377,76.28,2855050,21.54,0.2516736296370866,
20240428 221640.265,2125,15364516,255,43.96,2856721,21.44,0.2496442569338692,
20240428 221645.204,2126,15369457,318,57.28,2857647,21.54,0.2388401920275144,
20240428 221651.348,2127,15375602,352,66.89,2858758,21.54,0.2188183807439825,
20240428 221701.359,2128,15385615,327,59.28,2860617,21.54,0.19110593001700843,
20240428 221712.166,2129,15396423,423,97.36,2862650,21.33,0.15947691571645004,
20240428 221715.087,2130,15399345,686,278.39,2863210,21.11,0.18172896941501446,
20240428 221717.104,2131,15401362,369,73.42,2863589,21.44,0.18477457501847747,
20240428 221720.208,2132,15404467,357,68.97,2864152,21.54,0.175703693291633,
20240428 221727.123,2133,15411382,441,109.77,2865452,21.54,0.17889407681711658,
20240428 221730.987,2134,15415247,423,97.36,2866202,21.22,0.19715310910453057,
20240428 221732.118,2135,15416379,353,67.64,2866392,21.44,0.21315598755169032,
20240428 221733.964,2136,15418224,428,101.58,2866767,21.44,0.23465365121081283,
20240428 221736.548,2137,15420808,494,141.37,2867146,21.33,0.2841797152519253,
20240428 221739.550,2138,15423811,649,269.34,2867713,21.22,0.3651767455448437,
20240428 221742.077,2139,15426338,462,120.87,2868279,21.33,0.3705075954057058,
20240428 221752.482,2140,15436747,280,48.67,2870147,21.54,0.2826615410707219,
20240428 221755.577,2141,15439842,568,189.84,2870704,21.54,0.2827334671605078,
20240428 221757.365,2142,15441630,432,101.61,2871084,21.33,0.3306659612459493,
20240428 221803.935,2143,15448201,448,112.41,2872392,21.22,0.30350855894136214,
20240428 221805.328,2144,15449594,412,92.93,2872583,21.33,0.30111412225233364,
20240428 221815.149,2145,15459419,63,17.91,2874442,21.54,0.2428068471530897,
20240428 221821.338,2146,15465609,344,64.67,2875547,21.54,0.22326412145568209,
20240428 221829.002,2147,15473273,221,37.76,2877032,21.76,0.20221629054436627,
20240428 221830.547,2148,15474819,312,55.68,2877221,21.44,0.20631318341242005,
20240428 221833.134,2149,15477406,409,91.12,2877779,21.44,0.2459903571779986,
20240428 221833.189,2150,15477462,423,97.36,2877784,21.44,0.26587259385302564,
20240428 221855.008,2151,15499283,615,227.36,2881865,21.33,0.17348160227607862,
20240428 221901.258,2152,15505534,271,46.93,2882995,21.54,0.17445004622926225,
20240428 221911.993,2153,15516273,344,64.67,2885033,21.44,0.15000375009375233,
