0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 233042.339,2731,19807382,369,73.42,3684686,19.93,0.17574383578495983,
20240428 233046.574,2732,19811617,305,53.88,3685433,20.25,0.177818873695254,
20240428 233049.492,2733,19814536,399,87.3,3685990,20.25,0.17214666896195557,
20240428 233056.764,2734,19821808,255,43.96,3687293,20.58,0.16056518946692358,
20240428 233059.341,2735,19824387,357,68.97,3687852,20.25,0.1552047927239993,
20240428 233116.335,2736,19841383,472,125.87,3691008,20.36,0.1440299582313121,
20240428 233140.848,2737,19865900,536,160.18,3695490,20.04,0.12197948305095084,
20240428 233143.435,2738,19868489,391,82.35,3696058,20.04,0.12330760314681004,
20240428 233146.522,2739,19871577,414,93.93,3696620,20.04,0.14646649578908824,
20240428 233155.442,2740,19880498,590,200.72,3698294,20.04,0.13679329165697715,
20240428 233224.866,2741,19909928,423,97.36,3703747,20.15,0.10173767956700444,
20240428 233225.232,2742,19910294,359,69.86,3703937,20.25,0.10444955086693128,
20240428 233230.214,2743,19915276,389,81.58,3704868,20.04,0.10700909577314072,
20240428 233242.410,2744,19927476,376,76.43,3707099,20.04,0.09702238306377281,
20240428 233245.353,2745,19930419,355,68.3,3707661,20.04,0.11233683075333079,
20240428 233246.776,2746,19931841,448,112.41,3707851,20.04,0.15168062128382478,
20240428 233257.893,2747,19942962,384,80.08,3709908,19.93,0.13430390287141744,
20240428 233259.878,2748,19944923,243,41.74,3710283,20.36,0.1363215006270789,
20240428 233259.927,2749,19944935,345,64.98,3710288,20.04,0.15507482360238814,
20240428 233304.240,2750,19949309,348,65.64,3711221,20.04,0.2539747041194697,
20240428 233310.388,2751,19955458,387,81.05,3712339,20.04,0.2214545132429799,
20240428 233318.894,2752,19963966,140,25.42,3713829,19.93,0.20542317173377156,
20240428 233348.470,2753,19993549,409,91.12,3719364,19.93,0.15137753557372086,
20240428 233400.350,2754,20005431,391,82.35,3721604,20.04,0.13333866688000853,
20240428 233404.238,2755,20009320,359,69.86,3722351,20.15,0.1290955565309442,
20240428 233406.130,2756,20011211,384,80.08,3722727,20.04,0.14654806043642013,
20240428 233407.205,2757,20012286,409,91.12,3722917,20.04,0.1485288220179126,
20240428 233448.105,2758,20053194,339,62.98,3730554,20.15,0.09244023738652961,
20240428 233502.236,2759,20067329,147,26.19,3733153,20.25,0.0847486355469677,
20240428 233518.396,2760,20083491,345,64.98,3736110,20.15,0.07812011749265671,
20240428 233528.348,2761,20093446,316,56.81,3737970,20.04,0.07724751649234476,
20240428 233530.872,2762,20095968,432,101.61,3738343,19.93,0.09765434268861936,
20240428 233531.361,2763,20096458,348,65.64,3738534,20.04,0.10987682807572711,
20240428 233532.760,2764,20097858,172,29.49,3738724,20.25,0.11296626827229389,
20240428 233536.687,2765,20101785,472,125.87,3739467,20.04,0.11042768642954161,
20240428 233541.764,2766,20106864,371,73.82,3740403,19.93,0.10575407946361531,
20240428 233545.257,2767,20110356,432,101.61,3741148,19.93,0.17497200447928332,
20240428 233554.084,2768,20118986,433,104.37,3742646,20.15,0.19287147045209074,
20240428 233600.688,2769,20125792,319,57.64,3743958,20.04,0.23645133831457485,
20240428 233613.712,2770,20138818,384,80.08,3746367,20.04,0.2204391147165153,
20240428 233618.707,2771,20143812,517,151.05,3747298,19.93,0.20905194940942823,
20240428 233624.109,2772,20149217,395,84.48,3748427,20.04,0.18958064760749224,
20240428 233639.238,2773,20164347,432,101.61,3751213,20.04,0.15042570474442674,
20240428 233643.404,2774,20168514,453,113.81,3751962,19.93,0.1498868354392434,
20240428 233645.363,2775,20170474,430,101.41,3752339,20.04,0.15723517665372097,
20240428 233652.108,2776,20177222,415,95.0,3753649,20.04,0.14958639362163617,
20240428 233654.337,2777,20179449,476,129.76,3754026,19.93,0.1659668398254029,
20240428 233656.804,2778,20181916,611,211.89,3754403,19.93,0.17820229524556278,
