0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 212601.781,1681,12325481,519,154.3,2290489,22.19,0.09704686393059207,
20240428 212601.846,1682,12325547,395,84.48,2290494,22.19,0.10024660665236482,
20240428 212604.079,1683,12327780,455,117.03,2290869,22.19,0.1155535012710885,
20240428 212610.964,1684,12334665,556,174.47,2292176,22.19,0.10882932297278179,
20240428 212615.609,1685,12339313,194,33.0,2293123,22.19,0.11671062766975561,
20240428 212617.775,1686,12341479,332,61.17,2293497,22.19,0.12875149673614955,
20240428 212618.943,1687,12342646,368,72.93,2293687,22.19,0.1535084352885191,
20240428 212629.026,1688,12352731,462,120.87,2295548,22.19,0.26191723415400736,
20240428 212634.018,1689,12357725,364,71.71,2296484,22.19,0.23714102776921436,
20240428 212640.603,1690,12364311,368,72.93,2297787,22.19,0.2575859048992839,
20240428 212643.715,1691,12367424,387,81.05,2298348,22.19,0.2388401920275144,
20240428 212646.722,1692,12370433,423,97.36,2298909,22.19,0.2345050770349178,
20240428 212648.925,1693,12372634,590,200.72,2299286,22.19,0.26342825531466507,
20240428 212651.541,1694,12375250,668,291.28,2299855,22.19,0.27830346209506845,
20240428 212655.498,1695,12379208,254,43.77,2300609,22.19,0.2650902632346314,
20240428 212702.761,1696,12386473,380,78.12,2301908,22.19,0.22821671459217674,
20240428 212707.786,1697,12391498,472,125.87,2302838,22.19,0.2579979360165119,
20240428 212710.055,1698,12393768,354,67.99,2303218,22.19,0.2774925770735633,
20240428 212717.579,1699,12401293,432,101.61,2304709,22.19,0.2704456945045435,
20240428 212726.689,1700,12410406,332,61.17,2306390,22.19,0.23269884115977105,
20240428 212728.996,1701,12412713,227,38.83,2306766,22.19,0.23655201778871174,
20240428 212744.909,1702,12428630,408,90.57,2309719,22.19,0.17862246356101744,
20240428 212746.995,1703,12430716,419,97.2,2310095,22.19,0.18032964258664838,
20240428 212757.540,1704,12441264,398,85.63,2312139,22.19,0.16118113535991746,
20240428 212816.574,1705,12460300,300,52.79,2315672,22.19,0.13547749041496754,
20240428 212821.669,1706,12465397,71,19.06,2316597,22.19,0.1353491330888026,
20240428 212829.574,1707,12473303,339,62.98,2318071,22.19,0.12575610860297537,
20240428 212836.510,1708,12480240,391,82.35,2319374,22.19,0.12669293433505213,
20240428 212841.706,1709,12485437,396,85.28,2320305,22.19,0.13330311795992908,
20240428 212841.790,1710,12485522,359,69.86,2320310,22.19,0.1373739593922576,
20240428 213004.966,1711,12568712,412,92.93,2335707,22.19,0.07139950163147862,
20240428 213006.176,1712,12569923,323,58.48,2335897,22.19,0.0718488874199783,
20240428 213015.221,1713,12578970,67,18.51,2337561,22.19,0.07263166304718878,
20240428 213022.545,1714,12586295,368,72.93,2339035,22.19,0.07938335013614245,
20240428 213038.547,1715,12602300,427,101.26,2342005,22.19,0.07305775946463275,
20240428 213043.784,1716,12607538,415,95.0,2342941,22.19,0.07451009611802399,
20240428 213044.232,1717,12607984,551,164.56,2342947,22.19,0.07829504705532328,
20240428 213047.813,1718,12611568,399,87.3,2343703,22.19,0.07929773922145479,
20240428 213050.801,1719,12614556,401,87.91,2344263,22.19,0.07751277022889522,
20240428 213053.523,1720,12617279,399,87.3,2344824,22.19,0.20594353028399612,
20240428 213053.638,1721,12617394,419,97.2,2344829,22.19,0.21069487168682313,
20240428 213102.754,1722,12626511,364,71.71,2346500,22.19,0.21038015694359707,
20240428 213103.648,1723,12627405,287,50.23,2346691,22.19,0.2432912439481303,
20240428 213107.735,1724,12631494,291,50.97,2347435,22.19,0.3426065506372482,
20240428 213108.851,1725,12632609,355,68.3,2347624,22.19,0.39893086528104676,
20240428 213117.767,1726,12641527,391,82.35,2349299,22.19,0.2981959147159684,
20240428 213118.683,1727,12642444,327,59.28,2349490,22.19,0.32393909944930355,
20240428 213122.895,1728,12646657,408,90.57,2350233,22.19,0.3115847198853368,
20240428 213123.154,1729,12646916,391,82.35,2350238,22.19,0.3374843913469002,
20240428 213133.423,1730,12656997,435,104.92,2352097,22.19,0.2513510116878221,
20240428 213152.199,1731,12675965,147,26.19,2355643,22.19,0.20224491859642027,
20240428 213153.592,1732,12677358,369,73.42,2356014,22.19,0.20022425116130066,
20240428 213156.727,1733,12680494,355,68.3,2356575,22.19,0.20411495754408884,
20240428 213156.814,1734,12680583,344,64.67,2356582,22.19,0.20849404749494402,
20240428 213202.902,1735,12686671,391,82.35,2357698,22.19,0.22155754957350174,
20240428 213204.591,1736,12688359,455,117.03,2358074,22.19,0.2178269582643548,
20240428 213206.818,1737,12690587,364,71.71,2358452,22.19,0.2276711517883569,
20240428 213217.648,1738,12701419,412,92.93,2360495,22.19,0.18350644107608177,
20240428 213219.709,1739,12703480,323,58.48,2360871,22.19,0.21604804908611674,
20240428 213222.524,1740,12706295,476,129.76,2361428,22.19,0.3297609233305853,
20240428 213233.762,1741,12717537,384,80.08,2363481,22.19,0.24894199651481203,
20240428 213233.843,1742,12717617,639,249.88,2363486,22.19,0.2694255846535187,
20240428 213235.639,1743,12719413,422,97.97,2363865,22.19,0.25756600128782997,
20240428 213237.503,1744,12721277,344,64.67,2364242,22.19,0.2890089881795324,
20240428 213300.645,1745,12744424,355,68.3,2368507,22.19,0.17839940057801404,
20240428 213306.722,1746,12750500,460,119.54,2369628,22.19,0.16693376068376067,
20240428 213313.649,1747,12757429,704,326.52,2370942,22.19,0.17856823985285977,
20240428 213336.579,1748,12780366,71,19.06,2375258,22.19,0.13008976193573565,
20240428 213338.118,1749,12781904,345,64.98,2375446,22.19,0.13228563113474615,
20240428 213402.089,1750,12805879,355,68.3,2379903,22.19,0.1132156645193429,
20240428 213406.798,1751,12810589,371,73.82,2380834,22.19,0.10757893604432252,
20240428 213409.506,1752,12813298,371,73.82,2381394,22.19,0.10653371259335016,
20240428 213441.747,1753,12845543,480,130.21,2387336,22.19,0.0804867840700557,
20240428 213452.111,1754,12855910,423,97.36,2389214,22.19,0.0897134552240145,
20240428 213504.037,1755,12867838,432,101.61,2391440,22.19,0.0852405915697055,
20240428 213516.096,1756,12879899,110,22.78,2393682,22.19,0.08166798696578928,
20240428 213527.423,1757,12891229,364,71.71,2395890,22.19,0.09021688138284437,
20240428 213542.494,1758,12906302,423,97.36,2398676,22.19,0.08040136360712677,
20240428 213550.424,1759,12914234,408,90.57,2400162,22.19,0.09230627221119675,
20240428 213555.093,1760,12918904,387,81.05,2400907,22.19,0.09234036659125537,
20240428 213558.590,1761,12922400,448,112.41,2401654,22.19,0.09167247258993069,
20240428 213626.754,1762,12950571,376,76.43,2406876,22.19,0.09523174645499824,
20240428 213636.591,1763,12960408,736,412.77,2408735,22.19,0.09571209800918835,
20240428 213646.619,1764,12970438,508,144.95,2410612,22.19,0.0974829892183814,
20240428 213704.703,1765,12988524,542,168.67,2413993,22.19,0.09207509644866353,
20240428 213705.462,1766,12989284,467,121.56,2414185,22.19,0.10200022440049368,
20240428 213717.717,1767,13001543,287,50.23,2416426,22.19,0.10501664513825441,
20240428 213718.516,1768,13002342,241,41.39,2416615,22.19,0.11351768605548744,
20240428 213722.543,1769,13006369,359,69.86,2417359,22.19,0.11435105774728416,
20240428 213750.007,1770,13033839,359,69.86,2422364,22.19,0.08975291023811446,
20240428 213755.351,1771,13038992,353,67.64,2423291,22.19,0.11287063896068716,
20240428 213802.487,1772,13046321,312,55.68,2424771,22.19,0.11641985657073671,
20240428 213803.109,1773,13046942,432,101.61,2424776,22.19,0.13073604392731078,
20240428 213807.669,1774,13051504,366,72.41,2425713,22.19,0.15881586888161864,
20240428 213820.595,1775,13064432,384,80.08,2428128,22.19,0.13309730744147047,
20240428 213821.544,1776,13065380,389,81.58,2428318,22.19,0.15667350807651934,
20240428 213829.638,1777,13073474,639,249.88,2429806,22.19,0.1406034700936419,
20240428 213846.539,1778,13090379,463,119.23,2432998,22.19,0.11905328825182153,
20240428 213849.010,1779,13092851,472,125.87,2433375,22.19,0.16948290764876361,
20240428 213855.060,1780,13098880,423,97.36,2434496,22.19,0.16747893952335494,
20240428 213855.103,1781,13098905,432,101.61,2434501,22.19,0.19005625665196899,
20240428 213920.418,1782,13124265,335,61.77,2439351,22.19,0.12935104580320533,
20240428 213935.522,1783,13139373,359,69.86,2442138,22.19,0.11382650564010337,
20240428 213945.339,1784,13149192,432,101.61,2443996,22.19,0.11800245445105258,
20240428 213954.010,1785,13157863,480,130.21,2445496,22.19,0.10814785975385548,
20240428 214001.676,1786,13165531,377,76.28,2446997,22.19,0.10865077468002347,
20240428 214006.983,1787,13170840,389,81.58,2447929,22.19,0.12431007906121028,
20240428 214008.959,1788,13172814,432,101.61,2448305,22.19,0.12507973833318742,
20240428 214009.024,1789,13172881,220,37.58,2448310,22.19,0.13520090855010547,
20240428 214017.628,1790,13181487,377,76.28,2449978,22.19,0.12117540139351711,
20240428 214021.119,1791,13184978,253,43.55,2450540,22.19,0.16474193176389187,
20240428 214024.117,1792,13187977,355,68.3,2451097,22.19,0.20578248791027884,
20240428 214034.036,1793,13197897,384,80.08,2452954,22.19,0.20535145902211635,
20240428 214037.433,1794,13201295,318,57.28,2453701,22.19,0.23029270202427285,
20240428 214047.663,1795,13211528,384,80.08,2455547,22.19,0.21745275838824016,
20240428 214058.045,1796,13221910,512,144.44,2457404,22.19,0.1958403509459089,
20240428 214103.611,1797,13227454,369,73.42,2458533,22.19,0.18297592036887944,
20240428 214103.658,1798,13227460,649,269.34,2458538,22.19,0.1830362045612622,
20240428 214106.616,1799,13230483,492,134.92,2459113,22.19,0.2041316240712011,
20240428 214117.054,1800,13240922,515,147.53,2460989,22.19,0.17877893984088675,
20240428 214134.041,1801,13257913,679,318.29,2464180,22.19,0.14301241347748983,
20240428 214148.599,1802,13272474,397,85.55,2466996,22.19,0.13411477542480854,
20240428 214214.440,1803,13298321,376,76.43,2471821,22.19,0.10308534435659282,
20240428 214223.911,1804,13307793,428,101.58,2473492,22.19,0.10389826282104563,
20240428 214223.980,1805,13307864,79,20.03,2473497,22.19,0.1163670215860825,
20240428 214235.605,1806,13319490,48,15.29,2475715,22.19,0.1087027414831402,
20240428 214255.966,1807,13339854,408,90.57,2479384,22.19,0.08904085194287138,
20240428 214257.950,1808,13341839,331,60.51,2479760,22.19,0.08981982143819497,
20240428 214258.058,1809,13341946,300,52.79,2479765,22.19,0.09900597996118965,
20240428 214312.883,1810,13356775,423,97.36,2482537,22.19,0.10117156674288258,
20240428 214317.921,1811,13361813,368,72.93,2483472,22.19,0.11195450169051298,
20240428 214325.521,1812,13369415,176,30.09,2484957,22.19,0.1406845711230849,
20240428 214330.016,1813,13373911,368,72.93,2485701,22.19,0.1512744875576734,
20240428 214336.445,1814,13380341,353,67.64,2487005,22.19,0.13799765403988132,
20240428 214359.966,1815,13403865,455,117.03,2491277,22.19,0.11853818707696684,
20240428 214403.805,1816,13407706,344,64.67,2492027,22.19,0.14740783325225904,
20240428 214403.952,1817,13407852,463,119.23,2492032,22.19,0.15151056028605195,
20240428 214407.979,1818,13411881,359,69.86,2492784,22.19,0.1430185495058709,
20240428 214417.308,1819,13421211,387,81.05,2494641,22.19,0.15521924718665114,
20240428 214422.787,1820,13426692,364,71.71,2495571,22.19,0.15416396879721272,
20240428 214428.331,1821,13432237,399,87.3,2496687,22.19,0.15921031682853048,
20240428 214429.292,1822,13433198,369,73.42,2496877,22.19,0.16870234158850123,
20240428 214430.887,1823,13434792,364,71.71,2497067,22.19,0.18368171632195732,
20240428 214433.778,1824,13437684,326,59.13,2497628,22.19,0.2957529871051698,
20240428 214433.863,1825,13437768,441,109.77,2497633,22.19,0.3326901324106727,
20240428 214454.953,1826,13458863,391,82.35,2501548,22.19,0.1960745867728084,
20240428 214507.054,1827,13470965,467,121.56,2503776,22.19,0.16927634363097757,
20240428 214513.297,1828,13477211,319,57.64,2505089,22.19,0.17860651199342728,
20240428 214513.469,1829,13477383,345,64.98,2505094,22.19,0.19730870920642438,
20240428 214529.789,1830,13493706,369,73.42,2508068,22.19,0.16271274691659346,
20240428 214535.776,1831,13499693,531,160.62,2509189,22.19,0.15041212923410144,
20240428 214559.714,1832,13523637,295,51.75,2513685,22.19,0.11257838269895415,
20240428 214603.904,1833,13527826,472,125.87,2514428,22.19,0.11095577302887069,
20240428 214605.485,1834,13529408,408,90.57,2514805,22.19,0.1091440920302984,
20240428 214618.991,1835,13542918,425,99.48,2517225,22.19,0.11899378852423904,
20240428 214620.389,1836,13544314,334,61.44,2517601,22.19,0.1363605372605168,
20240428 214632.719,1837,13556646,335,61.77,2519829,22.19,0.12590969756490644,
20240428 214634.464,1838,13558393,371,73.82,2520205,22.19,0.12346441138341872,
20240428 214647.014,1839,13570945,352,66.89,2522435,22.19,0.12949174490126256,
20240428 214654.489,1840,13578423,345,64.98,2523923,22.19,0.12704381741262563,
20240428 214655.028,1841,13578960,335,61.77,2523928,22.19,0.18078605777922407,
20240428 214705.474,1842,13589408,415,95.0,2525972,22.19,0.16241676140977748,
20240428 214715.392,1843,13599329,364,71.71,2527836,22.19,0.14304719126839946,
20240428 214719.939,1844,13603874,526,158.17,2528582,22.19,0.16407429283979785,
20240428 214720.745,1845,13604682,312,55.68,2528774,22.19,0.1656836105772417,
20240428 214723.022,1846,13606959,425,99.48,2529147,22.19,0.1987953004790967,
20240428 214728.016,1847,13611954,327,59.28,2530080,22.19,0.1867343890050792,
20240428 214728.305,1848,13612241,448,112.41,2530269,22.19,0.2421835266765155,
20240428 214738.735,1849,13622675,600,203.87,2532139,22.19,0.22600913076888304,
20240428 214747.361,1850,13631303,355,68.3,2533830,22.19,0.19108401964343721,
20240428 214747.810,1851,13631752,403,88.99,2533836,22.19,0.2362055933484505,
20240428 214749.380,1852,13633323,323,58.48,2534213,22.19,0.29422148993762504,
20240428 214753.401,1853,13637344,415,95.0,2534956,22.19,0.2988464526926065,
20240428 214758.672,1854,13642616,255,43.96,2535890,22.19,0.263664407941572,
20240428 214800.386,1855,13644329,455,117.03,2536263,22.19,0.26763729793384006,
20240428 214816.252,1856,13660199,334,61.44,2539247,22.19,0.20731403930674186,
20240428 214816.930,1857,13660878,409,91.12,2539252,22.19,0.20565552699228792,
20240428 214817.445,1858,13661392,399,87.3,2539442,22.19,0.2583311805734952,
20240428 214824.877,1859,13668825,432,101.61,2540745,22.19,0.26655293741337033,
20240428 214907.353,1860,13711309,409,91.12,2548759,22.19,0.1257181650176634,
20240428 214915.707,1861,13719641,312,55.68,2550254,22.19,0.11583861364347192,
20240428 214915.754,1862,13719658,450,114.31,2550259,22.19,0.1214284846939395,
20240428 214916.266,1863,13720225,335,61.77,2550450,22.19,0.12887594401628993,
20240428 214919.403,1864,13723362,335,61.77,2551012,22.19,0.1265550451168736,
20240428 214922.987,1865,13726947,415,95.0,2551575,22.19,0.1498464074323818,
20240428 214940.969,1866,13744930,572,183.73,2554928,22.19,0.11899237258891705,
20240428 214944.763,1867,13748724,611,211.89,2555685,22.19,0.11452392404773358,
20240428 214953.800,1868,13757764,639,249.88,2557378,22.19,0.1124568446858518,
20240428 214956.878,1869,13760842,435,104.92,2557944,22.19,0.20191822311963656,
20240428 215004.933,1870,13768900,358,69.1,2559437,22.19,0.2031446796408402,
20240428 215015.727,1871,13779695,368,72.93,2561481,22.19,0.166741700431861,
20240428 215026.820,1872,13790790,337,62.3,2563528,22.19,0.14173540833971143,
20240428 215029.226,1873,13793198,412,92.93,2564090,22.19,0.1432192830442691,
20240428 215033.966,1874,13797937,432,101.61,2564838,22.19,0.1408867411487905,
20240428 215034.225,1875,13798197,504,143.61,2565029,22.19,0.18777226979119724,
