0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 075349.225,6721,50000492,465,122.12,9328179,18.0,0.11381355064133936,
20240429 075350.043,6722,50001309,508,144.95,9328371,18.0,0.11382002777208677,
20240429 075355.022,6723,50006290,355,68.3,9329319,18.0,0.1080345278350961,
20240429 075404.327,6724,50015597,432,101.61,9330997,18.0,0.09938875913134225,
20240429 075413.267,6725,50024540,353,67.64,9332692,18.0,0.20412329046744232,
20240429 075413.412,6726,50024685,385,80.11,9332697,18.0,0.2545500827287769,
20240429 075430.278,6727,50041552,562,184.71,9335877,18.0,0.19149751053236308,
20240429 075457.032,6728,50068314,291,50.97,9340980,18.0,0.1350730745333225,
20240429 075512.973,6729,50084258,316,56.81,9343969,18.0,0.11418392747036926,
20240429 075516.045,6730,50087331,369,73.42,9344534,18.0,0.11518083390923751,
20240429 075531.910,6731,50103199,408,90.57,9347524,18.0,0.09816721803920798,
20240429 075533.383,6732,50104673,339,62.98,9347718,18.0,0.10166631083457874,
20240429 075559.616,6733,50130911,337,62.3,9352567,18.0,0.0867385440068003,
20240429 075613.180,6734,50144476,547,162.22,9355173,18.0,0.08339379383386289,
20240429 075618.370,6735,50149669,408,90.57,9356120,18.0,0.08002688903471566,
20240429 075618.905,6736,50150204,480,130.21,9356312,18.0,0.09205814392370222,
20240429 075621.169,6737,50152469,384,80.08,9356692,18.0,0.11885377420159977,
20240429 075623.073,6738,50154373,760,464.8,9357070,18.0,0.14265335235378032,
20240429 075624.263,6739,50155564,376,76.43,9357267,18.0,0.14658887683602567,
20240429 075626.647,6740,50157948,333,61.18,9357646,18.0,0.18269178069678643,
20240429 075651.086,6741,50182392,422,97.97,9362299,18.0,0.12869515977504087,
20240429 075654.200,6742,50185506,391,82.35,9362866,18.0,0.18320386926571888,
20240429 075658.671,6743,50189978,433,104.37,9363624,18.0,0.21982370139148402,
20240429 075701.113,6744,50192421,384,80.08,9364190,18.0,0.2339564373113726,
20240429 075708.179,6745,50199488,519,154.3,9365504,18.0,0.20294678735235622,
20240429 075716.269,6746,50207582,348,65.64,9367022,18.0,0.18148820326678766,
20240429 075728.011,6747,50219324,399,87.3,9369259,18.0,0.15399303951461393,
20240429 075733.265,6748,50224580,207,35.26,9370199,18.0,0.14492333555549117,
20240429 075733.660,6749,50224975,409,91.12,9370205,18.0,0.14922477728201988,
20240429 075745.911,6750,50237230,385,80.11,9372643,18.0,0.1823985408116735,
20240429 075803.205,6751,50254526,307,54.48,9375829,18.0,0.14491703499746397,
20240429 075805.152,6752,50256474,428,101.58,9376205,18.0,0.15041891668296206,
20240429 075816.584,6753,50267908,519,154.3,9378275,18.0,0.13250122563633712,
20240429 075816.953,6754,50268277,391,82.35,9378468,18.0,0.14540378631459563,
20240429 075818.966,6755,50270290,344,64.67,9378848,18.0,0.15949726462191172,
20240429 075822.236,6756,50273561,408,90.57,9379410,18.0,0.18441678192715535,
20240429 075836.033,6757,50287362,345,64.98,9382031,18.0,0.15931684934998724,
20240429 075844.952,6758,50296282,280,48.67,9383712,18.0,0.14026819278460417,
20240429 075850.054,6759,50301385,440,109.25,9384647,18.0,0.1559016572346164,
20240429 075906.518,6760,50317853,387,81.05,9387660,18.0,0.1579454456430749,
20240429 075915.260,6761,50326596,384,80.08,9389352,18.0,0.1426370742283334,
20240429 075937.185,6762,50348527,71,19.06,9393475,18.0,0.124067939603727,
20240429 075951.840,6763,50363185,376,76.43,9396257,18.0,0.10538851475966149,
20240429 075957.251,6764,50368598,280,48.67,9397197,18.0,0.1017449254718421,
20240429 080006.072,6765,50377418,441,109.77,9398876,18.0,0.09630571285488655,
20240429 080006.170,6766,50377517,433,104.37,9398882,18.0,0.11094223237959994,
20240429 080008.837,6767,50379995,364,71.71,9399262,18.0,0.11921082434285032,
20240429 080017.526,6768,50388875,504,143.61,9400948,18.0,0.11432229742088898,
20240429 080022.486,6769,50393836,369,73.42,9401896,18.0,0.13163437236731254,
20240429 080024.935,6770,50396288,359,69.86,9402461,18.54,0.14352350197344815,
20240429 080029.518,6771,50400869,449,112.05,9403209,18.0,0.19108401964343721,
20240429 080030.604,6772,50401955,504,143.61,9403402,18.0,0.2579713135899288,
20240429 080038.002,6773,50409355,625,226.08,9404917,18.0,0.24539275109813258,
20240429 080040.102,6774,50411457,335,61.77,9405300,18.0,0.29385836027034967,
20240429 080100.075,6775,50431432,455,117.03,9409024,18.0,0.18551154809386883,
20240429 080128.150,6776,50459514,335,61.77,9414291,18.0,0.12608273549102922,
20240429 080132.916,6777,50464282,415,95.0,9415223,18.0,0.13264358668258389,
20240429 080135.959,6778,50467325,332,61.17,9415787,18.0,0.13610441931049502,
20240429 080210.831,6779,50502205,368,72.93,9422305,18.0,0.09443227317367983,
20240429 080216.929,6780,50508303,448,112.41,9423431,18.0,0.09310033423019988,
20240429 080246.838,6781,50538220,327,59.28,9429070,18.0,0.07340311522821028,
20240429 080259.912,6782,50551296,426,100.89,9431496,18.54,0.07046719751955464,
20240429 080311.106,6783,50562492,408,90.57,9433570,18.0,0.06622341130036291,
20240429 080313.390,6784,50564776,305,53.88,9433949,18.0,0.07501031391816375,
20240429 080320.169,6785,50571557,377,76.28,9435256,18.0,0.08927057017113167,
20240429 080321.394,6786,50572782,355,68.3,9435448,18.0,0.09218459042386475,
20240429 080343.874,6787,50595268,376,76.43,9439725,18.54,0.07817691435719032,
20240429 080350.078,6788,50601474,391,82.35,9440852,18.0,0.10075871310971617,
20240429 080356.947,6789,50608343,167,28.76,9442166,18.0,0.0999820032394169,
20240429 080412.582,6790,50623981,359,69.86,9444941,18.0,0.11662623623810413,
20240429 080416.047,6791,50627447,352,66.89,9445692,18.0,0.13134563604124253,
20240429 080420.027,6792,50631428,455,117.03,9446442,18.0,0.1450936579562107,
20240429 080436.544,6793,50647949,384,80.08,9449459,18.0,0.1202587969309955,
20240429 080437.021,6794,50648426,286,49.78,9449651,18.0,0.1301202310935304,
20240429 080445.530,6795,50656937,385,80.11,9451144,18.0,0.11885518684035372,
20240429 080454.419,6796,50665828,221,37.76,9452830,18.0,0.141753490679708,
20240429 080501.368,6797,50672779,51,15.86,9454139,18.0,0.14027212792818067,
20240429 080507.391,6798,50678802,366,72.41,9455255,18.0,0.1419567315882119,
20240429 080508.979,6799,50680390,287,50.23,9455638,18.0,0.1773143961558239,
20240429 080514.531,6800,50685945,79,20.03,9456572,18.0,0.1709869365980439,
20240429 080520.356,6801,50691769,650,261.02,9457682,18.0,0.16575776160718725,
20240429 080531.887,6802,50703302,444,109.09,9459955,18.0,0.1806913250094863,
20240429 080532.811,6803,50704227,387,81.05,9460148,18.0,0.17924359204158452,
20240429 080538.768,6804,50709996,463,119.23,9461091,18.0,0.18783575641459108,
20240429 080542.304,6805,50713720,511,149.39,9461847,18.0,0.20883366398663467,
20240429 080543.800,6806,50715219,318,57.28,9462228,18.0,0.2356711915535445,
20240429 080544.472,6807,50715891,361,70.62,9462234,18.54,0.2696798899706049,
20240429 080556.362,6808,50727784,355,68.3,9464487,18.0,0.2110461557942722,
20240429 080617.433,6809,50748859,230,39.39,9468417,18.21,0.15897745699659788,
20240429 080622.331,6810,50753756,432,101.61,9469352,18.0,0.16135538523598225,
20240429 080622.437,6811,50753864,423,97.36,9469357,18.0,0.19782393669634027,
20240429 080631.861,6812,50763289,393,83.55,9471234,18.0,0.1693480101608806,
20240429 080638.384,6813,50769813,466,122.0,9472368,18.0,0.16774020397208803,
20240429 080650.503,6814,50781936,419,97.2,9474629,18.0,0.14662971597824015,
20240429 080657.779,6815,50789213,433,104.37,9476128,18.0,0.1351734951810649,
20240429 080702.300,6816,50793734,636,231.85,9476886,18.0,0.1284884617361361,
20240429 080702.542,6817,50793977,326,59.13,9476892,18.0,0.15110305228165608,
20240429 080702.910,6818,50794345,354,67.99,9477083,18.0,0.2198913736614113,
20240429 080717.034,6819,50808473,359,69.86,9479698,18.0,0.1828053306034404,
20240429 080721.944,6820,50813384,359,69.86,9480631,18.0,0.16804745660174433,
20240429 080737.879,6821,50829322,371,73.82,9483621,18.0,0.15147384046775123,
20240429 080755.027,6822,50846474,376,76.43,9486807,18.0,0.1304750596923398,
20240429 080805.966,6823,50857414,419,97.2,9488863,18.0,0.1325152723851424,
20240429 080807.276,6824,50858724,435,104.92,9489056,18.0,0.14389110321308834,
20240429 080810.259,6825,50861707,489,138.11,9489623,18.0,0.1471475448432143,
20240429 080810.392,6826,50861842,391,82.35,9489628,18.0,0.14738393515106854,
20240429 080812.740,6827,50864190,287,50.23,9490194,18.0,0.143204926249463,
20240429 080824.252,6828,50875704,312,55.68,9492247,18.0,0.1487696747894909,
20240429 080829.258,6829,50880711,377,76.28,9493187,18.0,0.14855750661080905,
20240429 080844.728,6830,50895987,348,65.64,9495996,18.0,0.14959086897335785,
20240429 080855.886,6831,50907345,135,24.92,9498245,18.0,0.1643142345421384,
20240429 080905.969,6832,50917430,339,62.98,9500104,18.0,0.16665833374997915,
20240429 080910.318,6833,50921780,385,80.11,9500855,18.0,0.15862440912407602,
20240429 080913.342,6834,50924805,399,87.3,9501420,18.0,0.15852131319055848,
20240429 080917.266,6835,50928729,359,69.86,9502174,18.0,0.14953494631695427,
20240429 080928.192,6836,50939658,319,57.64,9504234,18.0,0.13253459152838892,
20240429 080945.383,6837,50956854,415,95.0,9507411,18.54,0.1232574478312852,
20240429 080946.904,6838,50958372,428,101.58,9507790,18.0,0.12878963501017437,
20240429 080947.329,6839,50958799,376,76.43,9507796,18.0,0.15974185715883132,
20240429 081009.852,6840,50981329,57,16.93,9512099,18.0,0.1351972527918233,
20240429 081019.894,6841,50991371,399,87.3,9513953,18.0,0.13527223537368954,
20240429 081021.313,6842,50992790,408,90.57,9514145,18.0,0.14085498978801322,
20240429 081024.743,6843,50996221,131,24.54,9514898,18.0,0.14005406086749486,
20240429 081029.382,6844,51000860,449,112.05,9515643,18.0,0.1386654833878751,
20240429 081030.787,6845,51002243,355,68.3,9516022,18.0,0.1597571691029635,
20240429 081030.830,6846,51002256,384,80.08,9516027,18.0,0.2200365260633265,
20240429 081034.300,6847,51005779,354,67.99,9516595,18.0,0.2109882690522407,
20240429 081035.737,6848,51007216,451,113.08,9516970,18.0,0.20657742521897207,
20240429 081044.177,6849,51015659,146,26.08,9518482,18.0,0.29133284777858703,
20240429 081100.247,6850,51031734,57,16.93,9521447,18.0,0.2478130498352043,
20240429 081103.750,6851,51035237,408,90.57,9522195,18.54,0.23564342437024297,
20240429 081112.889,6852,51044376,448,112.41,9523883,18.0,0.20770157437793377,
20240429 081117.119,6853,51048608,359,69.86,9524642,18.0,0.20948111527745772,
20240429 081123.179,6854,51054669,352,66.89,9525765,18.0,0.19086883493663154,
20240429 081135.241,6855,51066732,426,100.89,9528002,18.0,0.15525298473863158,
20240429 081156.194,6856,51087690,355,68.3,9531937,18.0,0.12210906781937626,
20240429 081159.729,6857,51091227,387,81.05,9532689,18.0,0.11905895799599961,
20240429 081212.211,6858,51103710,396,85.28,9534939,18.0,0.11359247563441396,
20240429 081217.877,6859,51109379,419,97.2,9536064,18.0,0.1288161793121216,
20240429 081238.868,6860,51130373,366,72.41,9539991,18.0,0.1051325721735108,
20240429 081242.295,6861,51133801,366,72.41,9540558,18.0,0.11184931660067557,
20240429 081252.257,6862,51143764,231,39.55,9542426,18.0,0.10511047110513148,
20240429 081256.410,6863,51147917,496,144.49,9543175,18.0,0.10726046057641772,
20240429 081309.425,6864,51160935,204,34.73,9545643,18.0,0.10617514652170221,
20240429 081325.103,6865,51176616,403,88.99,9548622,18.0,0.11247455263246689,
20240429 081329.763,6866,51181278,344,64.67,9549561,18.0,0.11106915165381966,
20240429 081333.843,6867,51185358,345,64.98,9550306,18.0,0.12250098000784006,
20240429 081338.080,6868,51189596,430,101.41,9551055,18.0,0.12468361532611,
20240429 081338.207,6869,51189724,384,80.08,9551060,18.0,0.16852323092738333,
20240429 081346.765,6870,51198284,412,92.93,9552747,18.0,0.15511090429657204,
20240429 081347.732,6871,51199250,435,104.92,9552938,18.0,0.18026137899954933,
20240429 081351.715,6872,51203233,376,76.43,9553690,18.0,0.1808154778049001,
20240429 081355.460,6873,51206979,467,121.56,9554254,18.0,0.2172260236776366,
20240429 081428.254,6874,51239781,295,51.75,9560468,18.0,0.15835061994267707,
20240429 081435.370,6875,51246899,371,73.82,9561777,18.0,0.15242275976648834,
20240429 081436.822,6876,51248351,330,60.13,9562155,18.0,0.15878308642563393,
20240429 081439.699,6877,51251227,399,87.3,9562717,18.0,0.16228760609552248,
