0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 005606.921,3361,24932983,359,69.86,4640843,19.61,0.13256270215812077,
20240429 005634.312,3362,24960379,167,28.76,4646045,19.72,0.10317468505927385,
20240429 005634.433,3363,24960501,199,33.86,4646050,19.82,0.10556429393322003,
20240429 005635.608,3364,24961676,423,97.36,4646239,19.61,0.12513451960857921,
20240429 005638.700,3365,24964768,547,162.22,4646806,19.72,0.16631186801490155,
20240429 005638.784,3366,24964853,345,64.98,4646811,19.72,0.16917611233293858,
20240429 005640.791,3367,24966859,384,80.08,4647186,19.61,0.18749414080809976,
20240429 005645.327,3368,24971398,353,67.64,4648118,19.61,0.2291895856252292,
20240429 005650.784,3369,24976855,287,50.23,4649050,19.72,0.2238989767816761,
20240429 005710.380,3370,24996455,384,80.08,4652770,19.61,0.1575820608581919,
20240429 005732.514,3371,25018595,354,67.99,4656865,19.72,0.1718154015325934,
20240429 005743.321,3372,25029403,323,58.48,4658910,19.82,0.1451631633956567,
20240429 005752.498,3373,25038583,352,66.89,4660583,19.61,0.13005592404734034,
20240429 005758.432,3374,25044517,385,80.11,4661700,19.61,0.12542015752771785,
20240429 005814.392,3375,25060482,396,85.28,4664675,19.61,0.10459375784453183,
20240429 005828.659,3376,25074752,355,68.3,4667276,19.61,0.0927058998034635,
20240429 005835.786,3377,25081878,524,150.73,4668578,19.61,0.09053132836618111,
20240429 005840.496,3378,25086589,568,189.84,4669520,19.61,0.09114773224442176,
20240429 005846.534,3379,25092628,432,101.61,4670657,19.61,0.10399983360026624,
20240429 005851.499,3380,25097596,391,82.35,4671593,19.61,0.126606317655251,
20240429 005854.325,3381,25100424,348,65.64,4672156,19.61,0.14083713593600358,
20240429 005854.735,3382,25100833,421,97.33,4672161,19.61,0.16067612513456625,
20240429 005900.702,3383,25106800,387,81.05,4673284,19.61,0.16059097478721696,
20240429 005905.405,3384,25111507,88,20.96,4674219,19.61,0.19602846333287594,
20240429 005927.249,3385,25133355,359,69.86,4678287,19.72,0.17067759003242874,
20240429 005944.387,3386,25150495,332,61.17,4681452,19.61,0.14577046981822422,
20240429 005952.259,3387,25158369,364,71.71,4682940,19.61,0.1393475746554631,
20240429 005958.418,3388,25164529,352,66.89,4684060,19.61,0.13911301541372212,
20240429 010008.826,3389,25174939,254,43.77,4685919,19.82,0.1293209357662912,
20240429 010028.753,3390,25194869,499,141.24,4689620,19.61,0.10590079213792519,
20240429 010030.516,3391,25196635,291,50.97,4690002,19.72,0.10440484020839205,
20240429 010031.270,3392,25197387,473,126.29,4690192,19.61,0.11041427435738893,
20240429 010034.496,3393,25200614,428,101.58,4690760,19.61,0.11224478342369039,
20240429 010036.850,3394,25202968,521,150.31,4691140,19.61,0.14367609660780736,
20240429 010053.064,3395,25218996,284,49.41,4694145,19.82,0.14560915590372323,
20240429 010103.165,3396,25229290,590,200.72,4696184,19.61,0.14103178856514256,
20240429 010106.264,3397,25232390,348,65.64,4696755,19.61,0.14739262447307136,
20240429 010106.639,3398,25232763,659,253.36,4696760,19.61,0.17297147700344212,
20240429 010115.364,3399,25241493,364,71.71,4698462,19.61,0.21454163180365152,
20240429 010122.708,3400,25248837,348,65.64,4699770,19.61,0.19160024524831393,
