0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 230613.889,2521,18338655,433,104.37,3410913,20.9,0.16412276382734287,
20240428 230618.001,2522,18342767,371,73.82,3411663,20.9,0.16654176034640686,
20240428 230619.972,2523,18344739,408,90.57,3412038,20.9,0.18086780372225938,
20240428 230635.730,2524,18360500,412,92.93,3415023,20.9,0.14100991299688367,
20240428 230638.709,2525,18363478,480,130.21,3415587,20.9,0.139041448255725,
20240428 230639.666,2526,18364436,348,65.64,3415780,20.9,0.13918659354730953,
20240428 230642.940,2527,18367711,368,72.93,3416341,20.9,0.14117314886708549,
20240428 230647.539,2528,18372312,224,38.29,3417272,20.9,0.18929355644733853,
20240428 230648.125,2529,18372896,274,47.52,3417278,20.9,0.2167739697817086,
20240428 230649.131,2530,18373903,319,57.64,3417467,20.9,0.2837523409568129,
20240428 230657.666,2531,18382440,408,90.57,3419140,20.9,0.25211143325349805,
20240428 230707.978,2532,18392754,327,59.28,3421008,20.9,0.20830729492146816,
20240428 230710.909,2533,18395685,327,59.28,3421568,20.9,0.28426049631882655,
20240428 230712.578,2534,18397355,344,64.67,3421943,20.9,0.2952552481620361,
20240428 230712.802,2535,18397579,312,55.68,3421949,20.9,0.3017865765330758,
20240428 230719.850,2536,18404628,384,80.08,3423251,20.9,0.270929287455974,
20240428 230724.809,2537,18409586,430,101.41,3424182,20.9,0.26831231553528306,
20240428 230739.824,2538,18424605,248,42.69,3426982,20.9,0.1934273390200971,
20240428 230755.451,2539,18440236,387,81.05,3429937,20.9,0.15078407720144754,
20240428 230756.682,2540,18441466,352,66.89,3430127,20.9,0.169445574081605,
20240428 230757.017,2541,18441801,368,72.93,3430132,20.9,0.20391932951324454,
20240428 230759.734,2542,18444518,435,104.92,3430694,20.58,0.20481310803891448,
20240428 230813.747,2543,18458535,355,68.3,3433306,20.9,0.16348150206804102,
20240428 230820.761,2544,18465549,441,109.77,3434608,20.9,0.1471475448432143,
20240428 230827.677,2545,18472466,608,202.86,3435916,20.58,0.14743391274861045,
20240428 230831.053,2546,18475842,433,104.37,3436487,20.9,0.15095706780991486,
20240428 230834.753,2547,18479544,403,88.99,3437236,20.9,0.1820531959438548,
20240428 230836.886,2548,18481678,368,72.93,3437611,20.9,0.24134186074574634,
20240428 230840.466,2549,18485259,394,84.01,3438359,20.9,0.22839393385711676,
20240428 230845.434,2550,18490226,620,217.12,3439293,20.9,0.20653902554887746,
20240428 230855.700,2551,18500495,348,65.64,3441186,20.9,0.17867991280420256,
20240428 230912.495,2552,18517294,344,64.67,3444342,20.9,0.1702185606318513,
20240428 230922.807,2553,18527607,415,95.0,3446199,20.9,0.1611707442864971,
20240428 230925.885,2554,18530684,448,112.41,3446766,20.9,0.17179769103903245,
20240428 230933.702,2555,18538505,339,62.98,3448261,20.9,0.15961946719021852,
20240428 230944.627,2556,18549431,364,71.71,3450304,20.9,0.1431147494060738,
20240428 230950.460,2557,18555266,204,34.73,3451419,20.9,0.13591757957974285,
20240428 230959.496,2558,18564304,88,20.96,3453084,20.9,0.12653422750854107,
20240428 230959.849,2559,18564656,312,55.68,3453089,20.9,0.13438150910434724,
20240428 231001.452,2560,18566259,391,82.35,3453466,20.9,0.15208662854361846,
20240428 231002.397,2561,18567204,295,51.75,3453656,20.9,0.20039276982886456,
20240428 231017.785,2562,18582595,124,23.92,3456429,20.9,0.1818909381934592,
20240428 231018.091,2563,18582902,359,69.86,3456434,20.9,0.19154886411523578,
20240428 231048.789,2564,18613605,313,56.02,3462193,20.9,0.13317884587212167,
20240428 231050.415,2565,18615231,432,101.61,3462566,20.9,0.15200340487626923,
20240428 231050.979,2566,18615795,316,56.81,3462571,20.9,0.16523736347262843,
20240428 231054.712,2567,18619529,327,59.28,3463314,20.9,0.18110692552883223,
20240428 231107.901,2568,18632719,448,112.41,3465716,20.9,0.14694645271263151,
20240428 231116.675,2569,18641495,440,109.25,3467397,20.9,0.13293806415590975,
20240428 231120.975,2570,18645796,332,61.17,3468147,20.9,0.12726208353483162,
20240428 231136.958,2571,18661781,432,101.61,3471116,20.9,0.1263056850188827,
20240428 231145.819,2572,18670646,385,80.11,3472796,20.68,0.1139886923217217,
20240428 231147.082,2573,18671907,639,249.88,3472987,20.58,0.17154718405297378,
20240428 231147.477,2574,18672303,240,41.21,3473179,20.9,0.17524797588587854,
20240428 231153.382,2575,18678210,403,88.99,3474291,20.58,0.16024870599169913,
20240428 231155.769,2576,18680596,428,101.58,3474666,20.9,0.16378138460782546,
20240428 231201.639,2577,18686469,376,76.43,3475790,20.9,0.18608805686851018,
20240428 231210.710,2578,18695541,353,67.64,3477461,20.9,0.18506523549551218,
20240428 231215.359,2579,18700191,377,76.28,3478392,20.9,0.1838776110620771,
20240428 231215.916,2580,18700748,387,81.05,3478398,20.9,0.2566866882283485,
20240428 231218.897,2581,18703730,419,97.2,3478961,20.9,0.3023157385573493,
20240428 231219.084,2582,18703916,368,72.93,3478966,20.9,0.31248046997062684,
20240428 231221.645,2583,18706479,291,50.97,3479527,20.9,0.2926715055022243,
20240428 231233.820,2584,18718655,432,101.61,3481742,20.9,0.24729215094712892,
20240428 231237.432,2585,18722268,387,81.05,3482493,20.9,0.2400211218587236,
20240428 231242.947,2586,18727783,428,101.58,3483426,20.9,0.24208385784835867,
20240428 231244.385,2587,18729198,371,73.82,3483803,20.9,0.29695619896065334,
20240428 231244.429,2588,18729231,207,35.26,3483808,20.58,0.3439972480220158,
20240428 231246.084,2589,18730919,529,156.43,3484000,20.9,0.33147706178732433,
20240428 231259.374,2590,18744214,415,95.0,3486626,20.9,0.24705388245176274,
20240428 231301.698,2591,18746537,595,212.63,3487004,20.58,0.23466466419486556,
20240428 231302.921,2592,18747762,307,54.48,3487199,20.9,0.2422715379397228,
20240428 231308.917,2593,18753760,409,91.12,3488313,20.9,0.28492463743339885,
20240428 231311.761,2594,18756602,448,112.41,3488876,20.9,0.2912989018031402,
20240428 231318.549,2595,18763393,415,95.0,3490187,20.68,0.28088309645525533,
20240428 231320.053,2596,18764897,371,73.82,3490379,20.9,0.28036335090277,
20240428 231326.731,2597,18771576,421,97.33,3491681,20.9,0.23639544229587253,
20240428 231330.413,2598,18775260,359,69.86,3492430,20.9,0.22558595952987887,
20240428 231333.495,2599,18778342,364,71.71,3492994,20.9,0.2930746461123648,
20240428 231342.744,2600,18787592,103,22.23,3494667,20.9,0.24362909905959168,
20240428 231346.348,2601,18791197,352,66.89,3495410,20.9,0.23027149008681236,
