0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 201111.771,1051,7834699,368,72.93,1454583,22.19,0.1512607584214427,
20240428 201118.979,1052,7841908,655,252.34,1455884,22.19,0.15879569346079336,
20240428 201128.968,1053,7851899,409,91.12,1457764,22.19,0.14058765640376775,
20240428 201132.756,1054,7855687,316,56.81,1458511,22.19,0.2220643098241251,
20240428 201142.029,1055,7864961,430,101.41,1460173,22.19,0.20982395769949014,
20240428 201143.641,1056,7866573,432,101.61,1460550,22.19,0.23426884692873542,
20240428 201151.418,1057,7874352,396,85.28,1462044,22.19,0.20030847505157942,
20240428 201152.894,1058,7875828,352,66.89,1462234,22.19,0.21732043898728676,
20240428 201154.816,1059,7877749,423,97.36,1462609,22.19,0.21689151086626468,
20240428 201156.451,1060,7879386,344,64.67,1462984,22.19,0.22381378692927484,
20240428 201157.873,1061,7880807,147,26.19,1463174,22.19,0.2571090656656554,
20240428 201218.971,1062,7901908,327,59.28,1467029,22.19,0.19998800071995682,
20240428 201220.565,1063,7903503,291,50.97,1467402,22.19,0.2091656382689452,
20240428 201230.793,1064,7913731,697,299.81,1469249,22.19,0.20506931342793863,
20240428 201251.825,1065,7934767,236,40.44,1473188,22.19,0.1466619734835152,
20240428 201317.459,1066,7960403,519,154.3,1477983,22.19,0.11622366081286829,
20240428 201321.743,1067,7964688,432,101.61,1478737,22.19,0.1125505070400342,
20240428 201325.546,1068,7968492,364,71.71,1479488,22.19,0.11021712774165104,
20240428 201328.527,1069,7971473,280,48.67,1480049,22.19,0.10860593422824624,
20240428 201332.803,1070,7975750,399,87.3,1480792,22.19,0.10534077741493732,
20240428 201338.879,1071,7981827,319,57.64,1481907,22.19,0.12514391550282825,
20240428 201344.565,1072,7987512,467,121.56,1483017,22.19,0.11904761904761904,
20240428 201348.393,1073,7991343,353,67.64,1483769,22.19,0.1288659793814433,
20240428 201354.345,1074,7997294,387,81.05,1484885,22.19,0.1599488163787588,
20240428 201357.434,1075,8000384,435,104.92,1485446,22.19,0.2501563477173233,
20240428 201402.697,1076,8005646,453,113.81,1486382,22.19,0.2441763930263222,
20240428 201418.276,1077,8021231,390,82.7,1489365,22.19,0.1896453631708705,
20240428 201419.450,1078,8022404,243,41.74,1489555,22.19,0.1963749189953459,
20240428 201422.948,1079,8025903,368,72.93,1490113,22.19,0.1994216771363047,
20240428 201423.582,1080,8026536,462,120.87,1490303,22.19,0.22369863320135114,
20240428 201423.862,1081,8026816,435,104.92,1490308,22.19,0.25447235157900094,
20240428 201426.495,1082,8029452,81,20.25,1490873,22.19,0.2624534145189229,
20240428 201432.620,1083,8035552,572,183.73,1491982,22.19,0.2612671456564337,
20240428 201432.667,1084,8035578,615,227.36,1491987,22.19,0.2838248233190475,
20240428 201442.553,1085,8045511,435,104.92,1493866,22.19,0.2509032517061421,
20240428 201454.928,1086,8057888,451,113.08,1496111,22.19,0.2728364072901888,
20240428 201519.351,1087,8082318,408,90.57,1500774,22.19,0.16694212116659154,
20240428 201521.418,1088,8084384,428,101.58,1501150,22.19,0.17102787754403967,
20240428 201521.555,1089,8084521,432,101.61,1501155,22.19,0.17249409207734637,
20240428 201524.232,1090,8087200,121,23.66,1501719,22.19,0.1656451880072884,
20240428 201537.941,1091,8100912,689,300.98,1504119,22.19,0.13996584833300674,
20240428 201540.227,1092,8103199,371,73.82,1504685,22.19,0.1479136775777656,
20240428 201546.560,1093,8109531,472,125.87,1505802,22.19,0.13533081618015239,
20240428 201610.911,1094,8133889,248,42.69,1510280,22.19,0.11317594332148757,
20240428 201619.319,1095,8142298,384,80.08,1511944,22.19,0.11849604815679396,
20240428 201622.472,1096,8145452,423,97.36,1512505,22.19,0.1584258804518306,
20240428 201636.446,1097,8159428,319,57.64,1515113,22.19,0.13328357413232392,
20240428 201640.428,1098,8163410,408,90.57,1515855,22.19,0.12678609917208677,
20240428 201652.559,1099,8175542,579,187.32,1518086,22.19,0.1132156645193429,
20240428 201654.207,1100,8177193,368,72.93,1518466,22.19,0.13112002727296565,
20240428 201702.330,1101,8185317,353,67.64,1519951,22.19,0.12179822905374957,
20240428 201708.266,1102,8191254,335,61.77,1521069,22.19,0.12239003255574865,
20240428 201709.940,1103,8192927,449,112.05,1521260,22.19,0.16940825695844414,
