0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 203535.206,1261,9298352,511,149.39,1727177,22.19,0.08400467065968868,
20240428 203538.252,1262,9301399,319,57.64,1727745,22.19,0.08251437813038921,
20240428 203545.794,1263,9308943,384,80.08,1729041,22.4,0.07855027610422051,
20240428 203557.393,1264,9320544,391,82.35,1731268,22.19,0.09419921249458355,
20240428 203600.426,1265,9323576,428,101.58,1731830,22.19,0.0932670515486994,
20240428 203621.359,1266,9344514,399,87.3,1735745,22.19,0.08912417671541759,
20240428 203630.092,1267,9353247,344,64.67,1737418,22.19,0.08962259923462301,
20240428 203638.070,1268,9361226,348,65.64,1738906,22.19,0.10662344862882245,
20240428 203641.242,1269,9364398,440,109.25,1739466,22.19,0.1406746757448724,
20240428 203642.751,1270,9365907,384,80.08,1739657,22.19,0.1480494485158043,
20240428 203659.183,1271,9382342,368,72.93,1742812,22.19,0.12356204668174124,
20240428 203705.293,1272,9388453,359,69.86,1743928,22.19,0.1257877457578083,
20240428 203716.304,1273,9399464,499,141.24,1745970,22.19,0.12672504467057824,
20240428 203720.187,1274,9403348,344,64.67,1746724,22.19,0.12537455648750642,
20240428 203723.318,1275,9406480,433,104.37,1747285,22.19,0.16139705288981424,
20240428 203727.425,1276,9410588,390,82.7,1748035,22.19,0.17441961871871348,
20240428 203736.721,1277,9419884,332,61.17,1749709,22.19,0.1705000767250345,
20240428 203747.290,1278,9430456,384,80.08,1751748,22.19,0.1514050387596899,
20240428 203751.080,1279,9434247,327,59.28,1752495,22.19,0.14635074419353425,
20240428 203755.429,1280,9438596,284,49.41,1753237,22.19,0.17779042065213527,
20240428 203757.238,1281,9440405,327,59.28,1753611,22.19,0.1925113100394648,
20240428 203800.277,1282,9443444,353,67.64,1754169,22.19,0.2274122757146431,
20240428 203802.305,1283,9445473,370,73.62,1754544,22.19,0.2374281779761622,
20240428 203804.122,1284,9447289,352,66.89,1754920,22.29,0.2450740123517302,
20240428 203808.377,1285,9451545,329,59.91,1755666,22.19,0.2441883180308654,
20240428 203825.259,1286,9468429,329,59.91,1758809,22.19,0.20602414602991473,
20240428 203827.013,1287,9469990,408,90.57,1758998,22.19,0.25174332250837045,
20240428 203840.375,1288,9483547,338,62.67,1761600,22.19,0.20286033066233897,
20240428 203841.160,1289,9484333,352,66.89,1761790,22.19,0.21867004876342086,
20240428 203857.775,1290,9500948,526,158.17,1764760,22.19,0.165188231990353,
20240428 203908.014,1291,9511190,371,73.82,1766825,22.19,0.14762980350473154,
20240428 203916.641,1292,9519817,325,59.05,1768315,22.19,0.13452432199741712,
20240428 203918.017,1293,9521196,423,97.36,1768689,22.19,0.13532715339332838,
20240428 203920.384,1294,9523561,611,211.89,1769064,22.19,0.13887538711514158,
20240428 203926.729,1295,9529908,316,56.81,1770194,22.19,0.16268098259313488,
20240428 203931.681,1296,9534860,376,76.43,1771119,22.19,0.1546359868868683,
20240428 203944.007,1297,9547187,617,223.47,1773535,22.19,0.15715363339200403,
20240428 203953.273,1298,9556455,265,45.75,1775228,22.19,0.13867125206273487,
20240428 203956.235,1299,9559417,295,51.75,1775785,22.19,0.17105713308244955,
20240428 203959.729,1300,9562911,300,52.79,1776343,22.19,0.19336749492410324,
20240428 204002.073,1301,9565256,399,87.3,1776900,22.19,0.2201091741503786,
20240428 204007.765,1302,9570948,455,117.03,1777831,22.19,0.20101310605451475,
20240428 204011.618,1303,9574803,327,59.28,1778581,22.19,0.19518288636452355,
20240428 204022.324,1304,9585510,271,46.93,1780611,22.19,0.17987229067362173,
20240428 204025.236,1305,9588422,371,73.82,1781169,22.19,0.18672392867145926,
20240428 204026.185,1306,9589371,403,88.99,1781359,22.19,0.23709042628858648,
20240428 204032.997,1307,9595985,377,76.28,1782477,22.19,0.2517369851978653,
20240428 204034.326,1308,9597514,399,87.3,1782854,22.19,0.2625292063742091,
20240428 204044.369,1309,9607558,353,67.64,1784710,22.19,0.22401433691756273,
20240428 204047.039,1310,9610228,408,90.57,1785270,22.19,0.22239025041142196,
20240428 204055.674,1311,9618864,513,148.53,1786757,22.19,0.20872904882172452,
20240428 204057.614,1312,9620805,368,72.93,1787137,22.19,0.21741020958344204,
20240428 204100.789,1313,9623981,334,61.44,1787698,22.19,0.2599766021058105,
20240428 204128.011,1314,9651207,358,69.1,1792891,22.19,0.15929908403026682,
20240428 204203.704,1315,9686904,419,97.2,1799361,22.19,0.1025441196074611,
20240428 204207.733,1316,9690933,384,80.08,1800106,22.19,0.10555649383550075,
20240428 204215.304,1317,9698505,371,73.82,1801594,22.19,0.09903147220186576,
20240428 204231.662,1318,9714866,275,47.73,1804564,22.19,0.09320272524768623,
20240428 204239.021,1319,9722225,345,64.98,1806044,22.19,0.0893000660820489,
20240428 204250.221,1320,9733429,83,20.46,1808085,22.19,0.08730040943892027,
20240428 204305.559,1321,9748766,355,68.3,1810850,22.19,0.07815858376646216,
20240428 204307.554,1322,9750762,316,56.81,1811226,22.19,0.07888612787441328,
20240428 204309.757,1323,9752966,376,76.43,1811600,22.19,0.09828396202307708,
20240428 204315.530,1324,9758739,402,87.25,1812716,22.19,0.13922535015175563,
20240428 204326.223,1325,9769433,281,48.9,1814758,22.19,0.1274047649382087,
20240428 204343.031,1326,9786244,359,69.86,1817898,22.19,0.1139899916787306,
20240428 204346.035,1327,9789248,397,85.55,1818460,22.19,0.1344573971737055,
20240428 204347.104,1328,9790317,371,73.82,1818650,22.19,0.14687954408589515,
20240428 204356.248,1329,9799463,376,76.43,1820323,22.19,0.15145319339058264,
20240428 204405.086,1330,9808301,463,119.23,1821995,22.19,0.1679909956826314,
20240428 204420.293,1331,9823511,396,85.28,1824794,22.19,0.13747783169963843,
20240428 204425.650,1332,9828868,511,149.39,1825726,22.19,0.13176445785513816,
20240428 204430.507,1333,9833725,403,88.99,1826668,22.19,0.13337423476532803,
20240428 204435.041,1334,9838260,287,50.23,1827599,22.19,0.14531081984364555,
20240428 204438.131,1335,9841351,348,65.64,1828156,22.19,0.18148820326678766,
20240428 204441.997,1336,9845217,434,104.89,1828902,22.19,0.17869268432150387,
20240428 204450.082,1337,9853302,610,202.52,1830395,22.19,0.15878560767252056,
20240428 204453.260,1338,9856482,357,68.97,1830962,22.19,0.1754016698238967,
