0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 180116.545,1,37991,396,85.28,7178,22.19,,
20240428 180124.630,2,46269,204,34.73,8840,22.19,,
20240428 180125.330,3,46968,415,95.0,8844,22.19,,
20240428 180146.453,4,68636,339,62.98,12908,22.19,,
20240428 180152.041,5,74224,385,80.11,14014,22.19,,
20240428 180153.110,6,75293,384,80.08,14202,22.19,,
20240428 180157.491,7,79676,240,41.21,14944,22.19,,
20240428 180202.380,8,84567,454,115.28,15865,22.19,,
20240428 180203.075,9,85260,255,43.96,16055,22.19,,
20240428 180220.317,10,101963,444,109.09,18989,22.19,0.15680863074703633,
20240428 180227.078,11,108726,433,104.37,20289,22.19,0.16013323084806558,
20240428 180228.317,12,109966,398,85.63,20478,22.19,0.15876291933256068,
20240428 180229.261,13,110910,344,64.67,20667,22.19,0.2336011960381237,
20240428 180229.313,14,110957,419,97.2,20671,22.19,0.2682979180081563,
20240428 180232.549,15,114198,365,71.38,21415,22.29,0.2535561246481909,
20240428 180235.998,16,117649,377,76.28,21972,22.19,0.2596930428233828,
20240428 180236.635,17,118284,352,66.89,22160,22.19,0.29192818566632606,
20240428 180237.889,18,119538,480,130.21,22349,22.19,0.2872407652093985,
20240428 180238.535,19,119990,248,42.69,22354,22.29,0.5489076737292787,
20240428 180245.554,20,127205,286,49.78,23827,22.19,0.5412426932236415,
20240428 180251.050,21,132703,99,21.91,24748,22.19,0.43988914793472045,
20240428 180254.141,22,135793,377,76.28,25303,22.19,0.4019292604501608,
20240428 180256.537,23,138190,440,109.25,25859,22.19,0.3673229503379371,
20240428 180325.925,24,167582,319,57.64,31234,22.19,0.18735011990407674,
20240428 180331.582,25,173241,112,22.94,32343,22.19,0.17990788716177317,
20240428 180357.073,26,198734,409,91.12,36927,22.29,0.12431935155026232,
20240428 180400.898,27,202561,51,15.86,37672,22.29,0.12046886482188679,
20240428 180407.546,28,209210,353,67.64,38950,22.51,0.11234566514251049,
20240428 180440.804,29,242472,79,20.03,45034,22.29,0.08676789587852494,
20240428 180440.989,30,242656,403,88.99,45038,22.29,0.09095953210416687,
20240428 180443.878,31,245545,403,88.99,45596,22.29,0.0911269672034045,
20240428 180447.518,32,249187,335,61.77,46338,22.29,0.09010551355637451,
20240428 180449.013,33,250682,419,97.2,46527,22.29,0.12035432312728674,
20240428 180459.270,34,260939,497,142.37,48381,22.19,0.1140406897180914,
20240428 180502.248,35,263919,386,80.48,48945,22.4,0.1534330648254699,
20240428 180516.879,36,278551,359,69.86,51717,22.51,0.1316118503310038,
20240428 180518.279,37,279952,348,65.64,51905,22.4,0.14137672656327316,
20240428 180541.000,38,302675,317,56.91,56150,22.4,0.16612399494983057,
20240428 180546.270,39,307948,158,27.53,57075,22.4,0.15318392794228028,
20240428 180547.182,40,308858,335,61.77,57262,22.29,0.15796790092253254,
20240428 180554.503,41,315994,415,95.0,58556,22.29,0.14928715384041202,
20240428 180601.824,42,323508,421,97.33,60039,22.19,0.13734188515471563,
20240428 180634.487,43,355995,448,112.41,65967,22.29,0.10502326265267757,
20240428 180636.009,44,357707,409,91.12,66342,22.29,0.10665415257943069,
20240428 180645.520,45,367222,140,25.42,68196,22.4,0.11281461174851366,
20240428 180649.803,46,371477,359,69.86,68933,22.4,0.10926095887417508,
20240428 180649.854,47,371492,335,61.77,68937,22.51,0.14523484474395096,
20240428 180656.895,48,378600,364,71.71,70232,22.4,0.1415929203539823,
20240428 180708.731,49,390439,448,112.41,72447,22.19,0.12262566064574672,
20240428 180720.968,50,402680,344,64.67,74676,22.51,0.11565373272422368,
20240428 180744.888,51,426607,536,160.18,79102,22.29,0.09702708996351782,
20240428 180758.854,52,440578,409,91.12,81726,22.4,0.1185297568954686,
20240428 180800.678,53,442401,440,109.25,82100,22.4,0.11810698130366487,
20240428 180805.801,54,447525,332,61.17,83032,22.51,0.12456247430898966,
20240428 180814.909,55,456634,527,155.96,84695,22.4,0.11750052875237939,
20240428 180816.144,56,457870,366,72.41,84886,22.51,0.11588828369451848,
20240428 180824.885,57,466614,364,71.71,86548,22.51,0.11364927832708263,
20240428 180836.730,58,478461,384,80.08,88765,22.51,0.11363765497335197,
20240428 180836.949,59,478681,345,64.98,88770,22.51,0.1316118503310038,
20240428 180840.705,60,482437,419,97.2,89510,22.4,0.1791568876865471,
20240428 180850.923,61,492657,408,90.57,91364,22.29,0.1920528529451305,
20240428 180854.084,62,495819,352,66.89,91926,22.51,0.18724487885256338,
20240428 180903.020,63,504757,384,80.08,93589,22.51,0.1747671228088572,
20240428 180903.072,64,504805,496,144.49,93594,22.4,0.20762826235907234,
20240428 180914.214,65,515953,259,44.69,95647,22.51,0.1722059583261581,
20240428 180920.035,66,521776,368,72.93,96750,22.51,0.1813236627379873,
20240428 180935.964,67,537708,423,97.36,99701,22.4,0.1688219603606037,
20240428 180940.005,68,541748,537,162.17,100446,22.4,0.1585891905607714,
20240428 180941.903,69,543648,376,76.43,100825,22.51,0.1634040328115298,
20240428 180948.437,70,549997,423,97.36,101937,22.51,0.17387070974023716,
20240428 180949.663,71,551410,78,19.92,102312,22.51,0.17992407204159844,
20240428 180954.691,72,556439,333,61.18,103228,22.51,0.19353215536761434,
20240428 180957.706,73,559454,376,76.43,103786,22.51,0.1830362045612622,
20240428 181004.071,74,565821,167,28.76,104896,22.51,0.20057364061215074,
20240428 181006.793,75,568542,348,65.64,105450,22.51,0.2138671457290731,
20240428 181019.675,76,581426,390,82.7,107850,22.51,0.22877536546864635,
20240428 181021.766,77,583517,408,90.57,108223,22.51,0.23945786738823302,
20240428 181037.706,78,599458,271,46.93,111190,22.51,0.17920183502679068,
20240428 181038.100,79,599853,396,85.28,111195,22.51,0.2013571471719389,
20240428 181043.857,80,605609,399,87.3,112306,22.51,0.18452227183821085,
20240428 181045.150,81,606903,81,20.25,112495,22.51,0.1981807011633207,
20240428 181051.691,82,613443,409,91.12,113782,22.51,0.1852366398073539,
20240428 181104.903,83,626658,421,97.33,116194,22.51,0.1643871646501841,
20240428 181107.678,84,629433,344,64.67,116755,22.51,0.16424406668309108,
20240428 181109.644,85,631397,428,101.58,117129,22.51,0.20012407692769515,
20240428 181110.917,86,632672,153,26.9,117321,22.51,0.20345466012899024,
20240428 181111.117,87,632871,348,65.64,117326,22.51,0.2993026248840202,
20240428 181113.674,88,635428,384,80.08,117883,22.51,0.28110417720807335,
20240428 181113.718,89,635471,432,101.61,117888,22.51,0.33488496701383075,
20240428 181114.847,90,636602,399,87.3,118078,22.51,0.3367343502710712,
20240428 181117.783,91,639539,352,66.89,118635,22.51,0.3832592365476008,
20240428 181120.050,92,641806,419,97.2,119008,22.51,0.6601967386281111,
20240428 181131.858,93,653616,376,76.43,121234,22.51,0.41356492969396197,
20240428 181148.207,94,669965,460,119.54,124185,22.51,0.2593159245909291,
20240428 181159.577,95,681337,345,64.98,126411,22.51,0.20550760378133992,
20240428 181202.829,96,684589,664,270.86,126968,22.4,0.1933787128712871,
20240428 181212.623,97,694385,369,73.42,128840,22.51,0.16963816180087873,
20240428 181221.810,98,703574,335,61.77,130505,22.51,0.1468601304117958,
20240428 181222.689,99,704452,376,76.43,130694,22.4,0.1474013148197282,
20240428 181225.713,100,707476,335,61.77,131253,22.51,0.1472103636095981,
20240428 181239.030,101,720794,295,51.75,133653,22.51,0.12661433274246645,
20240428 181253.759,102,735524,448,112.41,136420,22.51,0.12209863127434342,
20240428 181259.056,103,740823,300,52.79,137351,22.51,0.14114525257942948,
20240428 181308.895,104,750662,543,164.77,139197,22.51,0.14426267347586486,
20240428 181310.886,105,752654,543,164.77,139576,22.51,0.14693565687585405,
20240428 181337.918,106,779691,353,67.64,144634,22.51,0.1172401664810364,
20240428 181338.577,107,780351,96,21.67,144823,22.4,0.13026430627743693,
20240428 181339.772,108,781546,344,64.67,145012,22.51,0.1297302907255815,
20240428 181340.175,109,781948,352,66.89,145017,22.51,0.13429668824366792,
20240428 181347.034,110,788808,325,59.05,146311,22.51,0.14705017351920474,
20240428 181351.179,111,792954,396,85.28,147053,22.51,0.17415534656913967,
20240428 181423.737,112,825518,355,68.3,153157,22.51,0.1180902445648965,
20240428 181430.872,113,832653,591,188.65,154451,22.51,0.12198543493906827,
20240428 181448.965,114,850749,359,69.86,157830,22.72,0.10195862518989794,
20240428 181456.175,115,857961,414,93.93,159125,22.51,0.1277840959914129,
20240428 181458.500,116,860286,78,19.92,159685,22.51,0.12512042841234688,
20240428 181509.643,117,871430,448,112.41,161704,22.51,0.11127059896963426,
20240428 181520.736,118,882524,463,119.23,163747,22.51,0.09944212965264863,
20240428 181524.117,119,885908,354,67.99,164307,22.51,0.10300464550951248,
20240428 181524.867,120,886657,430,101.41,164496,22.51,0.10673725557168474,
20240428 181527.935,121,889725,415,95.0,165056,22.51,0.1557680924639397,
20240428 181530.549,122,892341,326,59.13,165617,22.51,0.1675687450776681,
20240428 181531.777,123,893569,108,22.63,165806,22.51,0.23357937027001777,
20240428 181531.979,124,893771,408,90.57,165811,22.51,0.2792984024131382,
20240428 181542.997,125,904790,611,211.89,167856,22.51,0.2247342517473088,
20240428 181545.542,126,907336,339,62.98,168423,22.51,0.27855929134516283,
20240428 181547.607,127,909402,355,68.3,168796,22.51,0.3721484127870195,
20240428 181552.091,128,913886,428,101.58,169537,22.51,0.3574747980267391,
20240428 181605.543,129,927340,333,61.18,172140,22.51,0.2458452158520995,
20240428 181613.950,130,935749,377,76.28,173618,22.51,0.21732043898728676,
20240428 181630.163,131,951964,131,24.54,176572,22.51,0.16774583151608682,
20240428 181634.712,132,956514,399,87.3,177493,22.51,0.1588940970842933,
20240428 181638.546,133,960348,455,117.03,178238,22.51,0.1502245857557048,
20240428 181641.819,134,963622,391,82.35,178800,22.51,0.17000442011492298,
20240428 181649.777,135,971581,428,101.58,180286,22.51,0.15567836849069822,
20240428 181649.983,136,971789,403,88.99,180291,22.51,0.1603180710529691,
20240428 181652.688,137,974492,543,164.77,180851,22.51,0.16502467118834266,
20240428 181653.112,138,974915,569,185.56,180856,22.51,0.21022094221026297,
20240428 181700.898,139,982707,96,21.67,182357,22.51,0.21300161881230298,
20240428 181702.947,140,984755,359,69.86,182728,22.51,0.3050268423621279,
20240428 181718.967,141,1000776,344,64.67,185678,22.51,0.2259631680036154,
20240428 181729.738,142,1011550,425,99.48,187709,22.51,0.19534302234724177,
20240428 181735.548,143,1017360,364,71.71,188825,22.51,0.18611922797744235,
