0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 032810.842,4621,34058752,449,112.05,6344620,19.61,0.27869903291435577,
20240429 032815.475,4622,34063388,385,80.11,6345558,19.61,0.38408357658626513,
20240429 032815.872,4623,34063784,368,72.93,6345563,19.61,0.47666714333381,
20240429 032820.056,4624,34067970,409,91.12,6346311,19.61,0.5384449709239716,
20240429 032820.817,4625,34068730,480,130.21,6346502,19.61,0.6647610184138802,
20240429 032835.967,4626,34083885,423,97.36,6349320,19.07,0.3383064379715146,
20240429 032845.450,4627,34093369,423,97.36,6351192,19.61,0.26327567596029805,
20240429 032854.471,4628,34102392,371,73.82,6352878,19.61,0.21296079391783973,
20240429 032855.351,4629,34103271,430,101.41,6353068,19.61,0.22026916892442563,
20240429 032913.704,4630,34121629,364,71.71,6356428,19.61,0.1590786166523496,
20240429 032914.845,4631,34122769,430,101.41,6356619,19.61,0.1684352366515075,
20240429 032915.726,4632,34123651,359,69.86,6356811,19.61,0.1670732114812711,
20240429 032916.796,4633,34124722,353,67.64,6357002,19.61,0.17624250969333802,
20240429 032916.989,4634,34124913,448,112.41,6357007,19.61,0.17802463860998363,
20240429 032923.439,4635,34131366,409,91.12,6358321,19.61,0.2106504887091338,
20240429 032924.937,4636,34132865,344,64.67,6358512,19.61,0.2532479043735913,
20240429 032936.983,4637,34144913,319,57.64,6360741,19.61,0.23522770041400076,
20240429 032941.756,4638,34149688,92,21.32,6361674,19.61,0.21549402004094387,
20240429 032946.828,4639,34154758,561,174.17,6362605,19.61,0.30189590629151064,
20240429 032951.254,4640,34158994,96,21.67,6363363,19.61,0.2746573649372408,
20240429 032952.862,4641,34160794,391,82.35,6363742,19.61,0.2692804825506247,
20240429 033000.898,4642,34168832,435,104.92,6365235,19.61,0.22674708629994106,
20240429 033013.907,4643,34181843,415,95.0,6367667,19.61,0.1756913454443234,
20240429 033032.811,4644,34200751,575,187.3,6371216,19.61,0.1441503776739895,
20240429 033039.742,4645,34207685,399,87.3,6372540,19.61,0.13368090368290889,
20240429 033048.039,4646,34215983,519,154.3,6374032,19.61,0.14073406890340015,
20240429 033049.410,4647,34217355,370,73.62,6374412,19.61,0.14781092027078963,
20240429 033105.440,4648,34233388,355,68.3,6377385,19.61,0.1272070421818552,
20240429 033112.644,4649,34240594,403,88.99,6378686,19.07,0.12286521685710775,
20240429 033116.849,4650,34244798,505,145.23,6379434,19.61,0.11906604593568053,
20240429 033116.967,4651,34244918,377,76.28,6379439,19.61,0.13145959589320222,
20240429 033118.695,4652,34246646,359,69.86,6379815,19.61,0.15434957090819287,
20240429 033125.835,4653,34253788,335,61.77,6381118,19.61,0.18859384429692214,
20240429 033129.926,4654,34257880,275,47.73,6381867,19.61,0.19926669854933846,
20240429 033134.900,4655,34262854,638,261.42,6382795,19.61,0.21339706792428673,
20240429 033141.914,4656,34269871,227,38.83,6384121,19.61,0.19046167911016304,
20240429 033144.829,4657,34272785,531,160.62,6384679,19.61,0.2538779862398131,
20240429 033146.236,4658,34274192,355,68.3,6385059,19.61,0.2976899261728983,
20240429 033154.366,4659,34282323,511,149.39,6386547,19.61,0.26654583255590797,
20240429 033154.855,4660,34282813,359,69.86,6386552,19.61,0.2639358108108108,
20240429 033156.725,4661,34284684,403,88.99,6386928,19.61,0.2629503023928477,
20240429 033203.852,4662,34291812,224,38.29,6388236,19.61,0.26304021884946205,
20240429 033214.949,4663,34302912,312,55.68,6390269,19.61,0.2221086999977789,
20240429 033218.598,4664,34306562,432,101.61,6391010,19.61,0.2288434253283903,
20240429 033228.285,4665,34316251,358,69.1,6392879,19.61,0.21565202389424423,
20240429 033244.757,4666,34332725,613,215.02,6395855,19.61,0.1668669069550127,
20240429 033246.234,4667,34334203,287,50.23,6396237,19.61,0.16667222240741358,
20240429 033254.331,4668,34342303,227,38.83,6397721,19.07,0.16676394563495373,
20240429 033257.294,4669,34345267,399,87.3,6398279,19.61,0.16015631256105958,
20240429 033259.356,4670,34347327,415,95.0,6398655,19.61,0.15966534144433267,
20240429 033330.933,4671,34378911,323,58.48,6404448,19.61,0.11483561282024782,
20240429 033337.809,4672,34385789,419,97.2,6405746,19.61,0.12068549360366884,
20240429 033339.618,4673,34387599,319,57.64,6406125,19.61,0.12342631449024932,
20240429 033350.201,4674,34397998,319,57.64,6407974,19.61,0.12207627325553005,
20240429 033415.799,4675,34423787,335,61.77,6412792,19.61,0.10983941477559807,
20240429 033450.635,4676,34458630,399,87.3,6419292,19.61,0.08038520590670493,
20240429 033450.717,4677,34458714,304,53.73,6419297,19.61,0.08592098706029935,
20240429 033502.246,4678,34470244,384,80.08,6421527,19.61,0.08003073180101158,
20240429 033510.908,4679,34478907,423,97.36,6423021,19.61,0.07601556798832401,
20240429 033518.922,4680,34486924,359,69.86,6424519,19.61,0.09260202428025076,
20240429 033525.761,4681,34493762,496,144.49,6425820,19.61,0.09263376315399437,
20240429 033532.835,4682,34500837,448,112.41,6427140,19.61,0.08832595811583066,
20240429 033534.842,4683,34502847,329,59.91,6427518,19.61,0.09556483596295906,
20240429 033620.216,4684,34548231,423,97.36,6436056,19.61,0.08037486838615301,
20240429 033623.945,4685,34551960,401,87.91,6436620,19.61,0.10716964955524595,
20240429 033630.554,4686,34558570,364,71.71,6437926,19.61,0.10016326612378176,
20240429 033631.684,4687,34559700,389,81.58,6438117,19.61,0.11180929806122678,
20240429 033633.593,4688,34561609,398,85.63,6438495,19.61,0.12094092036040394,
20240429 033635.611,4689,34563628,344,64.67,6438873,19.61,0.13039679745465452,
20240429 033644.886,4690,34572906,344,64.67,6440552,19.61,0.1263823064770932,
20240429 033645.879,4691,34573897,319,57.64,6440743,19.61,0.13690378402059034,
20240429 033651.679,4692,34579700,254,43.77,6441860,19.61,0.1301456329632859,
20240429 033657.205,4693,34585227,428,101.58,6442970,19.61,0.27035064478628784,
20240429 033659.915,4694,34587938,362,70.92,6443348,19.61,0.2780094523213789,
20240429 033700.483,4695,34588507,313,56.02,6443538,19.61,0.3341240936883959,
20240429 033716.447,4696,34604473,391,82.35,6446517,19.61,0.22339878917856265,
20240429 033717.885,4697,34605912,110,22.78,6446708,19.61,0.22577440621331166,
20240429 033732.872,4698,34620902,376,76.43,6449482,19.61,0.17463893400394684,
20240429 033744.556,4699,34632588,255,43.96,6451713,19.61,0.16758840288252053,
20240429 033805.544,4700,34653580,408,90.57,6455596,19.61,0.12552563861168642,
20240429 033809.791,4701,34657828,412,92.93,6456349,19.61,0.12802130274477674,
20240429 033828.674,4702,34676714,355,68.3,6459899,19.61,0.10932665711880528,
20240429 033834.877,4703,34682919,274,47.52,6461019,19.61,0.10530528000673954,
20240429 033848.709,4704,34696754,505,145.23,6463611,19.61,0.09239923863027369,
20240429 033850.512,4705,34698558,377,76.28,6463990,19.61,0.10630946685802371,
20240429 033854.702,4706,34702749,295,51.75,6464739,19.61,0.10328764576469009,
20240429 033903.905,4707,34711953,339,62.98,6466416,19.61,0.10985027407643382,
20240429 033929.901,4708,34737955,423,97.36,6471247,19.61,0.0949261948834781,
20240429 033938.466,4709,34746520,499,141.24,6472933,19.61,0.10761714125825962,
20240429 033950.710,4710,34758768,428,101.58,6475191,19.07,0.099089368701632,
20240429 034005.810,4711,34773872,339,62.98,6477991,19.61,0.1029484434195355,
20240429 034009.823,4712,34777885,110,22.78,6478737,19.61,0.10532302571988288,
20240429 034027.157,4713,34795223,409,91.12,6482069,19.61,0.10157646676418008,
20240429 034027.442,4714,34795507,460,119.54,6482074,19.61,0.10316723408645413,
20240429 034030.915,4715,34798981,444,109.09,6482639,19.61,0.10393605853678818,
20240429 034032.588,4716,34800654,412,92.93,6483016,19.61,0.11276118309033298,
20240429 034035.564,4717,34803632,398,85.63,6483580,19.61,0.1522927676164659,
20240429 034035.635,4718,34803703,339,62.98,6483585,19.61,0.17491997411184385,
20240429 034042.849,4719,34810918,396,85.28,6484892,19.61,0.19179500949385295,
20240429 034055.593,4720,34823664,433,104.37,6487310,19.61,0.20087178354056606,
20240429 034057.420,4721,34825491,476,129.76,6487687,19.61,0.21009727503834275,
20240429 034058.829,4722,34826902,352,66.89,6487878,19.61,0.31573629704470824,
20240429 034104.804,4723,34832878,335,61.77,6488997,19.61,0.2676516246453616,
20240429 034105.804,4724,34833878,355,68.3,6489187,19.07,0.2866232910086273,
20240429 034120.794,4725,34848872,363,71.2,6491980,19.61,0.20744305688088618,
20240429 034125.872,4726,34853949,558,172.78,6492913,19.07,0.19877554265723146,
20240429 034133.615,4727,34861696,76,19.69,6494425,19.61,0.17247326664367024,
20240429 034149.529,4728,34877611,333,61.18,6497366,19.61,0.14997000599880023,
20240429 034216.789,4729,34904877,451,113.08,6502387,19.07,0.12315877629439874,
20240429 034227.871,4730,34915962,414,93.93,6504446,19.61,0.11055709721285559,
20240429 034231.560,4731,34919652,143,25.74,6505198,19.61,0.1078388025579364,
20240429 034240.353,4732,34928446,326,59.13,6506863,19.61,0.10465834283979947,
20240429 034245.707,4733,34933803,344,64.67,6507795,19.61,0.10009709418135591,
20240429 034250.292,4734,34938388,384,80.08,6508731,19.61,0.11173434043218843,
20240429 034257.812,4735,34945909,399,87.3,6510033,19.61,0.10876658690450294,
20240429 034321.347,4736,34969448,433,104.37,6514489,19.61,0.09282293097686853,
20240429 034333.611,4737,34981716,96,21.67,6516737,19.61,0.09607809227339982,
20240429 034340.826,4738,34988931,486,135.98,6518039,19.61,0.11899520449325891,
20240429 034345.661,4739,34993769,403,88.99,6518984,19.61,0.1285512276642242,
20240429 034347.574,4740,34995683,368,72.93,6519361,19.61,0.13155471360538848,
20240429 034350.496,4741,34998604,358,69.1,6519924,19.61,0.14256590108777784,
20240429 034352.647,4742,35000755,575,187.3,6520299,19.61,0.14938751120406335,
20240429 034400.076,4743,35007985,227,38.83,6521624,19.61,0.14329932362719247,
20240429 034421.662,4744,35029777,348,65.64,6525695,19.61,0.11926058437686346,
20240429 034445.231,4745,35053351,352,66.89,6530152,19.61,0.1192122454818559,
20240429 034456.524,4746,35064646,415,95.0,6532199,19.61,0.12060834850988386,
20240429 034500.794,4747,35068917,386,80.48,6532951,19.61,0.1250500200080032,
20240429 034502.347,4748,35070470,423,97.36,6533326,19.61,0.13040189865164437,
20240429 034504.834,4749,35072958,366,72.41,6533704,19.61,0.12943308309603935,
20240429 034520.411,4750,35088537,323,58.48,6536679,19.61,0.11121614858477451,
20240429 034523.765,4751,35091893,376,76.43,6537240,19.61,0.1097477995566189,
20240429 034531.746,4752,35099875,419,97.2,6538729,19.61,0.10908694229300753,
20240429 034533.340,4753,35101470,384,80.08,6539106,19.61,0.13951282122827088,
20240429 034538.408,4754,35106539,352,66.89,6540039,19.61,0.18805122515373188,
20240429 034545.317,4755,35113449,369,73.42,6541342,19.61,0.20494743098395263,
20240429 034556.481,4756,35124616,344,64.67,6543387,19.61,0.17957512525364988,
20240429 034607.665,4757,35135802,368,72.93,6545442,19.61,0.15309715545485164,
20240429 034611.845,4758,35139984,391,82.35,6546189,19.07,0.14922923102177255,
20240429 034621.385,4759,35149526,358,69.1,6548052,19.61,0.16400432971430445,
20240429 034621.441,4760,35149581,408,90.57,6548057,19.61,0.17338234274221512,
20240429 034626.612,4761,35154752,463,119.23,6548997,19.61,0.18226223890934276,
20240429 034645.373,4762,35173518,339,62.98,6552547,19.61,0.13882526064442685,
20240429 034649.703,4763,35177849,389,81.58,6553293,19.61,0.1402622904832036,
20240429 034651.392,4764,35179537,492,134.92,6553668,19.61,0.1513431706394249,
20240429 034658.497,4765,35186644,473,126.29,6554985,19.61,0.16124871001031993,
20240429 034700.464,4766,35188612,366,72.41,6555363,19.61,0.18939752646830432,
20240429 034707.216,4767,35195367,299,52.61,6556667,19.61,0.1805999530440122,
20240429 034707.764,4768,35195913,463,119.23,6556672,19.61,0.21561482567541346,
20240429 034713.614,4769,35201765,403,88.99,6557796,19.61,0.19167002089203228,
20240429 034720.661,4770,35208813,317,56.91,6559099,19.61,0.18501729911746748,
20240429 034721.779,4771,35209931,364,71.71,6559290,19.61,0.27467999780256,
20240429 034726.524,4772,35214678,432,101.61,6560223,19.07,0.27158415034898564,
20240429 034727.793,4773,35215945,543,164.77,6560416,19.61,0.2747177275349578,
20240429 034731.361,4774,35219515,384,80.08,6561172,19.61,0.30428432327166505,
20240429 034731.404,4775,35219559,387,81.05,6561177,19.61,0.3232062055591467,
20240429 034733.753,4776,35221909,371,73.82,6561552,19.61,0.37683234728869125,
20240429 034802.387,4777,35250547,487,132.65,6566939,19.61,0.183073064460026,
20240429 034803.470,4778,35251631,448,112.41,6567132,19.61,0.20057766367137356,
20240429 034805.314,4779,35253476,339,62.98,6567509,19.61,0.2239491187602177,
