0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 030056.040,4411,32423603,384,80.08,6039105,19.61,0.11339797017633384,
20240429 030059.164,4412,32426728,345,64.98,6039666,19.61,0.13069162005332216,
20240429 030108.860,4413,32436426,319,57.64,6041529,19.61,0.12992750045474627,
20240429 030135.969,4414,32463539,591,188.65,6046541,19.61,0.10406260406260406,
20240429 030136.288,4415,32463858,371,73.82,6046547,19.61,0.14464872058206646,
20240429 030155.656,4416,32483231,352,66.89,6050259,19.61,0.1200105609293618,
20240429 030159.644,4417,32487219,426,100.89,6051007,19.61,0.11672561310128281,
20240429 030208.727,4418,32496305,384,80.08,6052690,19.61,0.11387316806540876,
20240429 030210.819,4419,32498398,366,72.41,6053066,19.61,0.11154240842368268,
20240429 030219.988,4420,32507567,508,144.95,6054741,19.61,0.11912136084242628,
20240429 030225.133,4421,32512713,376,76.43,6055683,19.61,0.1163209994300271,
20240429 030234.207,4422,32521790,377,76.28,6057354,19.61,0.11716873469483403,
20240429 030247.078,4423,32534665,339,62.98,6059773,19.61,0.1406291749286307,
20240429 030251.206,4424,32538792,384,80.08,6060521,19.61,0.13347927066926504,
20240429 030253.910,4425,32541496,591,188.65,6061084,19.61,0.1716620317918083,
20240429 030300.046,4426,32547635,414,93.93,6062223,19.61,0.16555743187311678,
20240429 030307.234,4427,32554824,371,73.82,6063538,19.61,0.17091971900798195,
20240429 030316.733,4428,32564325,384,80.08,6065405,19.61,0.1517128379403465,
20240429 030319.051,4429,32566643,363,71.2,6065781,19.61,0.16931073599376936,
20240429 030335.236,4430,32582832,385,80.11,6068756,19.61,0.14264724762135716,
20240429 030339.646,4431,32587243,415,95.0,6069688,19.61,0.15281407111966872,
20240429 030340.100,4432,32587697,384,80.08,6069693,19.61,0.18860095809286712,
20240429 030346.132,4433,32593729,355,68.3,6070811,19.61,0.18206313949677747,
20240429 030349.027,4434,32596625,376,76.43,6071374,19.61,0.1814322259919807,
20240429 030357.721,4435,32605320,440,109.25,6073054,19.61,0.17338534893801474,
20240429 030405.628,4436,32613230,433,104.37,6074556,19.61,0.17125047093879509,
20240429 030420.916,4437,32628521,408,90.57,6077357,19.61,0.15580449651776948,
20240429 030424.914,4438,32632521,391,82.35,6078108,19.61,0.1518303144405812,
20240429 030432.090,4439,32639697,345,64.98,6079412,19.61,0.1758891194990678,
20240429 030514.079,4440,32681696,384,80.08,6087212,19.61,0.1058951849459405,
20240429 030516.756,4441,32684374,262,45.24,6087772,19.61,0.1034596921039563,
20240429 030517.864,4442,32685481,234,40.06,6087962,19.61,0.10901321240134304,
20240429 030537.089,4443,32704711,384,80.08,6091477,19.61,0.09253946808313745,
20240429 030542.049,4444,32709673,399,87.3,6092413,19.61,0.09585154512690744,
20240429 030638.047,4445,32765683,397,85.55,6102812,19.61,0.0656086183481062,
20240429 030639.922,4446,32767558,455,117.03,6103187,19.61,0.07193934074788139,
20240429 030642.775,4447,32770412,384,80.08,6103753,19.61,0.07253683057572483,
20240429 030643.574,4448,32771209,637,240.22,6103943,19.61,0.07605488120227556,
20240429 030646.792,4449,32774430,377,76.28,6104514,19.61,0.10785973919515063,
20240429 030648.943,4450,32776581,387,81.05,6104889,19.61,0.1084751646110623,
20240429 030649.559,4451,32777196,433,104.37,6105079,19.61,0.10905720050166313,
20240429 030700.098,4452,32787738,574,181.47,6106950,19.61,0.12046886482188679,
20240429 030710.662,4453,32798305,385,80.11,6109030,19.61,0.11285025899134439,
20240429 030724.664,4454,32812311,167,28.76,6111632,19.61,0.2145140184911084,
20240429 030724.806,4455,32812454,85,20.67,6111637,19.61,0.2227965421976651,
20240429 030745.888,4456,32833539,433,104.37,6115518,19.61,0.15844596200465833,
20240429 030746.539,4457,32834191,371,73.82,6115711,19.61,0.15881839116969745,
20240429 030748.861,4458,32836512,403,88.99,6116088,19.61,0.161111021604988,
20240429 030756.562,4459,32844216,425,99.48,6117580,19.61,0.1478874280897381,
20240429 030801.122,4460,32848777,199,33.86,6118333,19.61,0.1397370149378869,
20240429 030803.720,4461,32851376,384,80.08,6118891,19.61,0.15717833453836724,
20240429 030819.113,4462,32866769,583,201.26,6121682,19.61,0.14608990372675346,
20240429 030830.535,4463,32878194,664,270.86,6123949,19.61,0.15181187472484098,
20240429 030836.050,4464,32883712,655,252.34,6124900,19.61,0.14036269720958958,
20240429 030838.549,4465,32886212,371,73.82,6125470,19.61,0.18989384933821993,
20240429 030839.708,4466,32887370,403,88.99,6125661,19.61,0.18807952002106493,
20240429 030841.606,4467,32889269,355,68.3,6126037,19.61,0.1895914304673429,
20240429 030846.897,4468,32894561,327,59.28,6126973,19.61,0.19866891824774013,
20240429 030849.105,4469,32896768,560,175.34,6127351,19.61,0.2084071441969031,
20240429 030854.664,4470,32902330,327,59.28,6128486,19.61,0.1962939698492462,
20240429 030858.758,4471,32906425,359,69.86,6129231,19.61,0.2522386177323748,
20240429 030902.541,4472,32910206,435,104.92,6129977,19.61,0.31244141723426855,
20240429 030909.096,4473,32916763,455,117.03,6131103,19.61,0.3026084851419234,
20240429 030922.308,4474,32929980,384,80.08,6133532,19.61,0.22852441783404556,
20240429 030930.839,4475,32938514,371,73.82,6135205,19.61,0.19557606931215896,
20240429 030935.629,4476,32943304,369,73.42,6136139,19.61,0.18510634359439496,
20240429 030937.818,4477,32945494,430,101.41,6136516,19.61,0.196382631920033,
20240429 030948.519,4478,32956195,505,145.23,6138571,19.61,0.16831049920894064,
20240429 030950.659,4479,32958336,624,242.54,6138952,19.61,0.1785873738726672,
20240429 031004.642,4480,32972324,376,76.43,6141601,19.61,0.15178191973772084,
20240429 031005.939,4481,32973620,428,101.58,6141791,19.61,0.15773368245055047,
20240429 031008.509,4482,32976191,359,69.86,6142355,19.61,0.16831333209903557,
20240429 031010.888,4483,32978570,472,125.87,6142735,19.07,0.2058460271716756,
20240429 031029.762,4484,32997449,312,55.68,6146303,19.61,0.16971301529114266,
20240429 031033.662,4485,33001351,62,17.75,6147053,19.61,0.1723157513828339,
20240429 031034.575,4486,33002263,267,46.14,6147241,19.61,0.17618972109167153,
20240429 031040.634,4487,33008322,463,119.23,6148354,19.61,0.19188333493236112,
20240429 031048.011,4488,33015702,359,69.86,6149664,19.61,0.17436183568140606,
20240429 031048.783,4489,33016472,432,101.61,6149854,19.61,0.2265467479214336,
20240429 031053.743,4490,33021435,423,97.36,6150792,19.61,0.20918751568906366,
20240429 031056.717,4491,33024409,647,246.69,6151357,19.61,0.20743445071357453,
20240429 031100.877,4492,33028571,339,62.98,6152115,19.61,0.20004400968213007,
20240429 031105.523,4493,33033219,188,32.01,6153047,19.61,0.27963423841615165,
20240429 031117.746,4494,33045443,359,69.86,6155268,19.61,0.22683966972144087,
20240429 031134.282,4495,33061982,345,64.98,6158250,19.61,0.16748454955030398,
20240429 031143.008,4496,33070710,371,73.82,6159928,19.61,0.16032321159457466,
20240429 031151.578,4497,33079283,355,68.3,6161600,19.61,0.15731432976229806,
20240429 031209.630,4498,33097338,391,82.35,6164943,19.61,0.12369042759780821,
20240429 031214.874,4499,33102582,428,101.58,6165876,19.61,0.1232574478312852,
20240429 031214.997,4500,33102706,376,76.43,6165881,19.61,0.12774655084312722,
20240429 031218.492,4501,33106202,319,57.64,6166629,19.61,0.12884107453456162,
20240429 031219.664,4502,33107375,384,80.08,6166818,19.61,0.13487813760267597,
20240429 031221.931,4503,33109642,335,61.77,6167196,19.61,0.15579964166082416,
20240429 031229.822,4504,33117536,415,95.0,6168683,19.61,0.18005041411595246,
20240429 031230.250,4505,33117963,403,88.99,6168689,19.61,0.2116760509715931,
20240429 031231.490,4506,33119204,286,49.78,6169064,19.61,0.25055121266786934,
20240429 031232.197,4507,33119908,536,160.18,6169069,19.61,0.44312491691407807,
20240429 031245.535,4508,33133252,335,61.77,6171709,19.61,0.32614722285639736,
20240429 031249.894,4509,33137612,359,69.86,6172461,19.61,0.28655758374645385,
20240429 031306.948,4510,33154667,777,596.45,6175625,19.61,0.2063727918111276,
20240429 031315.947,4511,33163669,334,61.44,6177325,19.61,0.17767354263276655,
20240429 031318.642,4512,33166365,480,130.21,6177886,19.61,0.1763326338805523,
20240429 031334.628,4513,33182355,387,81.05,6180893,19.61,0.15430669999691388,
20240429 031337.772,4514,33185500,352,66.89,6181453,19.61,0.14809987855809956,
20240429 031357.250,4515,33204981,391,82.35,6184984,19.61,0.11660447761194029,
20240429 031411.866,4516,33219600,353,67.64,6187770,19.61,0.10033209924851258,
20240429 031427.545,4517,33235282,575,187.3,6190742,19.61,0.09802960494069209,
20240429 031437.176,4518,33244916,316,56.81,6192442,19.61,0.09321228165023024,
20240429 031443.477,4519,33251195,399,87.3,6193742,19.61,0.10359581058541993,
20240429 031443.526,4520,33251230,376,76.43,6193747,19.61,0.11418262368832711,
20240429 031512.924,4521,33280669,485,135.76,6199139,19.61,0.08750284384242488,
20240429 031527.199,4522,33294948,478,129.43,6201770,19.61,0.08883282550568086,
20240429 031546.746,4523,33314501,376,76.43,6205508,19.61,0.07753500705568565,
20240429 031556.773,4524,33324528,448,112.41,6207368,19.61,0.08366590530692837,
20240429 031617.490,4525,33345252,423,97.36,6211296,19.61,0.07960262370247724,
20240429 031628.130,4526,33355893,736,412.77,6213165,19.61,0.08292905419413692,
20240429 031640.768,4527,33368534,611,211.89,6215625,19.07,0.08091138585021684,
20240429 031648.873,4528,33376641,472,125.87,6217136,19.61,0.07974736036237201,
20240429 031652.818,4529,33380586,432,101.61,6217889,19.61,0.07734430591219875,
20240429 031659.644,4530,33387415,390,82.7,6219199,19.61,0.09370314842578711,
20240429 031701.768,4531,33389539,327,59.28,6219575,19.61,0.10574289672091276,
20240429 031713.598,4532,33401371,387,81.05,6221797,19.61,0.1151383963524156,
20240429 031721.499,4533,33409273,318,57.28,6223290,19.61,0.11802752401860114,
20240429 031730.591,4534,33418368,359,69.86,6224962,19.61,0.13679703424029768,
20240429 031739.629,4535,33427408,399,87.3,6226644,19.61,0.13986209597337027,
20240429 031746.613,4536,33434393,248,42.69,6227951,19.61,0.1518718201837649,
20240429 031756.575,4537,33444358,348,65.64,6229804,19.61,0.14770612389589674,
20240429 031757.147,4538,33444928,433,104.37,6229809,19.61,0.15545088529279175,
20240429 031808.672,4539,33456456,504,143.61,6232057,19.61,0.14486874891348436,
20240429 031823.500,4540,33471286,428,101.58,6234874,19.61,0.12235109871286644,
20240429 031830.735,4541,33478523,427,101.26,6236181,19.61,0.12963947262662534,
20240429 031834.406,4542,33482196,369,73.42,6236931,19.61,0.13716104077797742,
20240429 031838.393,4543,33485992,384,80.08,6237493,19.61,0.14748827468216275,
20240429 031855.110,4544,33502905,353,67.64,6240653,19.61,0.1324836713875015,
20240429 031858.575,4545,33506370,384,80.08,6241399,19.61,0.13896223006586808,
20240429 031905.114,4546,33512910,719,344.94,6242516,19.61,0.14590233297830432,
20240429 031906.391,4547,33513988,611,211.89,6242709,19.61,0.14441684478077524,
20240429 031908.420,4548,33516217,345,64.98,6243279,19.61,0.16736961906674702,
20240429 031917.467,4549,33525267,318,57.28,6244960,19.61,0.18529842311041933,
20240429 031922.526,4550,33530326,519,154.3,6245890,19.61,0.1930837404182194,
20240429 031949.495,4551,33557301,384,80.08,6250971,19.61,0.1331752986456072,
20240429 032006.017,4552,33573827,423,97.36,6253944,19.61,0.11412398429653976,
20240429 032006.775,4553,33574585,422,97.97,6254135,19.61,0.13953812879369287,
20240429 032012.559,4554,33580370,312,55.68,6255261,19.61,0.1351643598615917,
20240429 032025.097,4555,33592910,327,59.28,6257485,19.61,0.12502656814573096,
20240429 032031.633,4556,33599448,319,57.64,6258791,19.61,0.11731306163628258,
20240429 032041.431,4557,33609248,396,85.28,6260650,19.61,0.1075141649912376,
20240429 032044.995,4558,33612813,57,16.93,6261212,19.61,0.11424915455625628,
20240429 032050.644,4559,33618463,153,26.9,6262319,19.61,0.11348419165210287,
20240429 032104.451,4560,33632272,455,117.03,6264910,19.61,0.13341160147286407,
