0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240428 194657.142,841,6379851,376,76.43,1183989,22.19,0.16494301218928858,
20240428 194659.641,842,6382351,300,52.79,1184547,22.19,0.18668906935498927,
20240428 194702.571,843,6385281,486,135.98,1185104,22.19,0.20092425155716293,
20240428 194708.550,844,6391263,425,99.48,1186225,22.19,0.2046915298644942,
20240428 194713.471,845,6395987,387,81.05,1186970,22.19,0.1968930280178779,
20240428 194718.134,846,6400848,487,132.65,1187901,22.19,0.18065215427693976,
20240428 194720.527,847,6403243,124,23.92,1188464,22.19,0.22849308808408544,
20240428 194722.119,848,6404836,376,76.43,1188652,22.19,0.2541812820903869,
20240428 194733.589,849,6416309,107,22.55,1190876,22.19,0.26026755504658794,
20240428 194734.523,850,6417243,339,62.98,1191064,22.19,0.2675155827826971,
20240428 194737.655,851,6420375,450,114.31,1191623,22.19,0.2630609775345925,
20240428 194741.598,852,6424323,57,16.93,1192372,22.19,0.2562328644271914,
20240428 194742.953,853,6425677,348,65.64,1192560,22.19,0.2906723250879284,
20240428 194743.463,854,6426185,430,101.41,1192749,22.19,0.33342224593224856,
20240428 194747.468,855,6430192,390,82.7,1193495,22.19,0.340901343151292,
20240428 194802.103,856,6444832,463,119.23,1196092,22.19,0.2405233788724264,
20240428 194812.004,857,6454736,345,64.98,1197960,22.19,0.20046106043900974,
20240428 194812.973,858,6455706,199,33.86,1198149,22.19,0.253910217347146,
20240428 194818.650,859,6461384,408,90.57,1199252,22.19,0.22661862351848075,
20240428 194824.626,860,6467362,391,82.35,1200368,22.19,0.21289731962274597,
20240428 194826.622,861,6469357,433,104.37,1200743,22.19,0.22210376687988628,
20240428 194856.037,862,6498772,359,69.86,1206122,22.19,0.1368288544688304,
20240428 194909.607,863,6512346,359,69.86,1208705,22.19,0.11608469539375928,
20240428 194910.045,864,6512782,390,82.7,1208710,22.19,0.12109909538975744,
20240428 194928.124,865,6530864,197,33.52,1212049,22.19,0.11625068297276246,
20240428 194949.561,866,6552304,384,80.08,1216096,22.19,0.10250417704521458,
20240428 194952.476,867,6555220,316,56.81,1216657,22.19,0.1004994824276655,
20240428 194952.979,868,6555723,415,95.0,1216662,22.29,0.10601193694409991,
20240428 195002.127,869,6564872,403,88.99,1218333,22.19,0.1025630506353781,
20240428 195017.973,870,6580723,344,64.67,1221305,22.19,0.08980610861150776,
20240428 195020.674,871,6583422,483,132.6,1221865,22.19,0.11815163580939778,
20240428 195037.435,872,6600188,313,56.02,1225038,22.19,0.11385890604363073,
20240428 195050.435,873,6613193,327,59.28,1227445,22.19,0.09961151509114453,
20240428 195051.108,874,6613864,451,113.08,1227450,22.19,0.12050515762074618,
20240428 195052.451,875,6615208,345,64.98,1227827,22.19,0.1590077913817777,
20240428 195109.537,876,6632299,355,68.3,1230965,22.19,0.129767327182362,
20240428 195112.955,877,6635719,291,50.97,1231524,22.19,0.125037511253376,
20240428 195126.639,878,6649406,368,72.93,1234107,22.19,0.11832639151836426,
20240428 195127.124,879,6649891,287,50.23,1234112,22.19,0.14461106853118538,
20240428 195145.015,880,6667787,384,80.08,1237437,22.19,0.11856629634460109,
20240428 195147.070,881,6669843,60,17.43,1237814,22.19,0.14360594528613482,
20240428 195148.573,882,6671344,448,112.41,1238185,22.19,0.1720045409198803,
20240428 195156.512,883,6679286,211,35.96,1239680,22.19,0.15289584734878603,
20240428 195157.868,884,6680643,600,203.87,1239868,22.19,0.15286546310592047,
20240428 195158.109,885,6680883,524,150.73,1239873,22.19,0.20587993082434322,
20240428 195214.405,886,6696987,318,57.28,1242875,22.19,0.16273393002441008,
