0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 035257.144,4831,35545368,377,76.28,6622078,19.61,0.2628880885407082,
20240429 035302.433,4832,35550658,252,43.42,6623014,19.61,0.23223948535730046,
20240429 035302.625,4833,35550851,220,37.58,6623019,19.61,0.28074903843454335,
20240429 035306.004,4834,35554228,435,104.92,6623762,19.61,0.3665554781716213,
20240429 035316.662,4835,35564890,384,80.08,6625635,19.61,0.2806544862619629,
20240429 035318.350,4836,35566576,455,117.03,6626011,19.61,0.3142875102143441,
20240429 035320.249,4837,35568477,460,119.54,6626388,19.07,0.32057446944925305,
20240429 035322.733,4838,35570962,368,72.93,6626765,19.61,0.3846745653177412,
20240429 035334.242,4839,35582473,159,27.66,6628994,19.61,0.2669585413385301,
20240429 035340.568,4840,35588801,339,62.98,6630109,19.61,0.23028739867354459,
20240429 035349.054,4841,35597287,387,81.05,6631784,19.61,0.2144956135647026,
20240429 035350.278,4842,35598512,399,87.3,6631974,19.61,0.20985037668142614,
20240429 035355.604,4843,35603840,224,38.29,6632908,19.61,0.20161290322580644,
20240429 035401.011,4844,35609246,304,53.73,6634018,19.61,0.2254842273782949,
20240429 035404.143,4845,35612380,399,87.3,6634578,19.61,0.21837398729063395,
20240429 035406.722,4846,35614960,335,61.77,6634955,19.61,0.21517870591526264,
20240429 035414.956,4847,35623196,384,80.08,6636628,18.75,0.19148650977538634,
20240429 035430.396,4848,35638639,302,53.3,6639421,19.61,0.17808170388574276,
20240429 035434.076,4849,35642319,287,50.23,6640166,19.61,0.1868879419899828,
20240429 035439.433,4850,35647678,368,72.93,6641103,19.61,0.19849540483137817,
20240429 035456.974,4851,35665221,481,129.57,6644445,19.61,0.14993402902722802,
20240429 035501.672,4852,35669922,78,19.92,6645198,19.61,0.15135920566688865,
20240429 035506.012,4853,35674262,385,80.11,6646120,19.07,0.15384378701866125,
20240429 035532.620,4854,35700876,398,85.63,6650953,19.61,0.11302372367960034,
20240429 035541.248,4855,35709505,396,85.28,6652628,19.61,0.1057909993017794,
20240429 035604.010,4856,35732272,362,70.92,6656900,19.61,0.0916976910521393,
20240429 035627.218,4857,35755487,48,15.29,6661173,19.61,0.08560031500915923,
20240429 035634.220,4858,35762489,323,58.48,6662462,19.61,0.08323345318950592,
20240429 035645.940,4859,35774211,384,80.08,6664697,19.61,0.07904700925640479,
20240429 035648.929,4860,35777200,540,166.11,6665259,19.07,0.08932160242954759,
20240429 035655.018,4861,35783291,319,57.64,6666393,19.61,0.08822543362800628,
20240429 035701.078,4862,35789352,409,91.12,6667509,19.61,0.08690664488206769,
20240429 035709.147,4863,35797424,368,72.93,6669007,19.61,0.103597957048287,
20240429 035711.237,4864,35799514,412,92.93,6669386,19.61,0.11112469301803553,
20240429 035716.511,4865,35804789,77,19.81,6670326,19.61,0.13792913201197224,
20240429 035717.487,4866,35805765,419,97.2,6670514,19.61,0.19892975790248463,
20240429 035723.082,4867,35811361,204,34.73,6671636,19.61,0.20465801645450452,
20240429 035737.921,4868,35826203,384,80.08,6674418,19.61,0.19237798426348088,
20240429 035741.210,4869,35829491,192,32.67,6674981,19.61,0.1912740766243951,
20240429 035742.060,4870,35830343,301,53.09,6675171,19.61,0.21257599591854087,
20240429 035745.118,4871,35833400,433,104.37,6675732,19.61,0.22706630336058128,
20240429 035747.347,4872,35835631,403,88.99,6676110,19.61,0.2617801047120419,
20240429 035753.048,4873,35841332,499,141.24,6677230,19.07,0.23917150988974192,
20240429 035756.169,4874,35844455,401,87.91,6677797,19.61,0.2521559332291089,
20240429 035803.427,4875,35851714,391,82.35,6679104,19.61,0.21767522855899,
20240429 035810.575,4876,35858864,368,72.93,6680410,19.61,0.21055734529299053,
20240429 035815.130,4877,35863418,600,203.87,6681341,19.07,0.26875218361149183,
20240429 035824.296,4878,35872588,371,73.82,6683040,19.61,0.2320939516316205,
20240429 035838.454,4879,35886748,402,87.25,6685644,19.61,0.17732382877611094,
20240429 035843.116,4880,35891410,432,101.61,6686575,19.61,0.17241973861167628,
20240429 035852.002,4881,35900299,409,91.12,6688259,19.61,0.15466707911221098,
20240429 035912.998,4882,35921299,440,109.25,6692180,19.07,0.12507817385866166,
20240429 035916.962,4883,35925264,384,80.08,6692930,19.61,0.12377309915462972,
20240429 035928.015,4884,35936320,369,73.42,6694975,19.61,0.11822007849813213,
20240429 035933.971,4885,35942276,499,141.24,6696096,19.07,0.11990982780948727,
20240429 035941.903,4886,35950211,359,69.86,6697599,19.61,0.11524322081753541,
20240429 035943.561,4887,35951867,463,119.23,6697789,19.61,0.12615908660821296,
20240429 040014.084,4888,35982399,131,24.54,6703581,19.61,0.10456969570218551,
20240429 040015.358,4889,35983673,455,117.03,6703771,19.07,0.1084104854621539,
20240429 040015.553,4890,35983868,319,57.64,6703776,19.61,0.11968737657239291,
20240429 040028.237,4891,35996554,519,154.3,6706195,19.07,0.1329097941227289,
20240429 040043.951,4892,36012271,432,101.61,6709211,19.61,0.11495706353676902,
20240429 040046.120,4893,36014440,441,109.77,6709590,19.61,0.12803277639075603,
20240429 040048.374,4894,36016695,145,25.96,6709969,19.61,0.13440318266736556,
20240429 040054.079,4895,36022402,444,109.09,6711081,19.07,0.1385502105963201,
20240429 040117.868,4896,36046195,355,68.3,6715563,19.61,0.10603666747961445,
20240429 040126.287,4897,36054617,364,71.71,6717055,19.61,0.13849840034347602,
20240429 040134.056,4898,36062387,385,80.11,6718551,19.07,0.12706803222445298,
20240429 040149.997,4899,36078332,368,72.93,6721542,19.61,0.10588285121341748,
20240429 040151.884,4900,36080218,432,101.61,6721920,19.61,0.11955001374825157,
20240429 040207.326,4901,36095665,429,103.64,6724732,19.07,0.1199400299850075,
20240429 040211.053,4902,36099392,387,81.05,6725482,19.61,0.11773986554107355,
20240429 040215.167,4903,36103505,455,117.03,6726233,19.61,0.11521666493841669,
20240429 040222.223,4904,36110565,369,73.42,6727551,19.61,0.11345071700853149,
20240429 040226.850,4905,36115192,387,81.05,6728485,19.61,0.14496535328056595,
20240429 040241.410,4906,36129756,391,82.35,6731106,19.61,0.13311502469283706,
