0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 012007.819,3571,26373993,318,57.28,4909660,19.61,0.30597882626522244,
20240429 012011.073,3572,26377438,384,80.08,4910402,19.61,0.28781947962238086,
20240429 012027.829,3573,26394196,483,132.6,4913558,19.72,0.24409295059558678,
20240429 012029.116,3574,26395485,384,80.08,4913751,19.61,0.29506358620282674,
20240429 012035.592,3575,26401963,355,68.3,4914872,19.61,0.254427030327702,
20240429 012038.121,3576,26404492,391,82.35,4915434,19.61,0.2451941938014908,
20240429 012047.121,3577,26413494,371,73.82,4917110,19.61,0.2045240724833313,
20240429 012100.261,3578,26426637,403,88.99,4919531,19.61,0.16134757494594856,
20240429 012105.199,3579,26431575,344,64.67,4920465,19.61,0.17212296464594307,
20240429 012124.267,3580,26450646,440,109.25,4923992,19.61,0.1308078694014232,
20240429 012143.270,3581,26469654,57,16.93,4927538,19.61,0.10846339902599868,
20240429 012145.018,3582,26471401,408,90.57,4927909,19.61,0.12955213825804196,
20240429 012153.061,3583,26479444,561,174.17,4929411,19.61,0.1191256179641432,
20240429 012220.001,3584,26506387,476,129.76,4934510,19.61,0.09577718395923722,
20240429 012227.041,3585,26513430,371,73.82,4935825,19.61,0.0918105031215571,
20240429 012237.000,3586,26523390,371,73.82,4937685,19.61,0.09100920103022415,
20240429 012246.492,3587,26532885,352,66.89,4939359,19.61,0.09413448051886926,
20240429 012247.064,3588,26533456,391,82.35,4939549,19.61,0.09816914543758896,
20240429 012247.550,3589,26533942,430,101.41,4939555,19.61,0.12007252380437784,
20240429 012248.861,3590,26535254,390,82.7,4939933,19.61,0.15245994115046274,
20240429 012304.925,3591,26551321,79,20.03,4942908,19.61,0.12514548162238603,
20240429 012305.999,3592,26552394,353,67.64,4943097,19.61,0.13710274479695084,
20240429 012321.234,3593,26567631,167,28.76,4945884,19.61,0.16331063315532476,
20240429 012328.786,3594,26574997,487,132.65,4947181,19.61,0.1619564337193295,
20240429 012330.104,3595,26576502,370,73.62,4947557,19.61,0.18830973184694186,
20240429 012333.501,3596,26579900,366,72.41,4948119,19.61,0.2127252228296709,
20240429 012345.896,3597,26592296,476,129.76,4950536,19.61,0.16997552352461245,
20240429 012350.063,3598,26596464,391,82.35,4951286,19.61,0.15996672692080047,
20240429 012355.432,3599,26601834,448,112.41,4952217,19.61,0.15021555932763517,
20240429 012359.062,3600,26605465,335,61.77,4952969,19.61,0.18471655245026505,
20240429 012420.196,3601,26626601,131,24.54,4956873,19.61,0.1347763386659838,
20240429 012432.893,3602,26639301,353,67.64,4959276,19.61,0.13954981230550242,
20240429 012454.532,3603,26660944,696,307.73,4963179,19.61,0.11662351596575934,
20240429 012515.429,3604,26681846,366,72.41,4967149,19.61,0.09494422027059103,
20240429 012526.012,3605,26692430,355,68.3,4969197,19.61,0.08888019838060279,
20240429 012532.010,3606,26698428,335,61.77,4970313,19.61,0.09423827204704374,
20240429 012533.136,3607,26699554,319,57.64,4970505,19.61,0.09701861787276979,
20240429 012555.013,3608,26721435,359,69.86,4974599,19.61,0.0836253250934513,
20240429 012602.046,3609,26728468,440,109.25,4975902,19.61,0.08131139009952515,
20240429 012617.394,3610,26743819,435,104.92,4978711,19.61,0.08532568815167495,
20240429 012621.089,3611,26747514,455,117.03,4979460,19.61,0.09242485858996635,
20240429 012637.950,3612,26764380,376,76.43,4982640,19.61,0.0966949660600669,
20240429 012639.115,3613,26765544,600,203.87,4982831,19.61,0.11949430012188418,
20240429 012639.554,3614,26765983,376,76.43,4982836,19.61,0.13597672078540154,
20240429 012642.811,3615,26769240,504,143.61,4983584,19.61,0.14124094292453496,
20240429 012645.385,3616,26771815,433,104.37,4983965,19.61,0.13841022021066035,
20240429 012710.351,3617,26796786,199,33.86,4988635,19.61,0.1327351403010433,
20240429 012713.896,3618,26800332,408,90.57,4989381,19.61,0.13917884481558804,
20240429 012731.444,3619,26817883,409,91.12,4992556,19.61,0.1350438892640108,
20240429 012732.379,3620,26818819,274,47.52,4992749,19.61,0.14027212792818067,
20240429 012733.043,3621,26819482,352,66.89,4992938,19.72,0.1815112627738551,
20240429 012744.368,3622,26830809,271,46.93,4994990,19.61,0.15324965901950868,
20240429 012744.993,3623,26831434,348,65.64,4995179,19.72,0.15281407111966872,
