0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 042102.237,5041,37230814,384,80.08,6936950,19.07,0.17733640716439084,
20240429 042103.775,5042,37232352,359,69.86,6937327,18.54,0.20459102254593067,
20240429 042105.618,5043,37234195,376,76.43,6937703,19.07,0.23387436269236164,
20240429 042117.128,5044,37245707,384,80.08,6939761,19.61,0.1948975813210158,
20240429 042119.695,5045,37248273,462,120.87,6940326,18.54,0.19451468585878234,
20240429 042121.355,5046,37249935,419,97.2,6940519,19.07,0.19407301026646223,
20240429 042140.156,5047,37268741,359,69.86,6944067,19.07,0.16981676770764345,
20240429 042143.235,5048,37271820,307,54.48,6944632,19.07,0.17858418458461317,
20240429 042148.788,5049,37277373,440,109.25,6945749,18.54,0.21014142517914555,
20240429 042154.651,5050,37283237,353,67.64,6946873,19.07,0.19078872057083984,
20240429 042202.263,5051,37290852,364,71.71,6948178,19.07,0.17097524278484474,
20240429 042219.722,5052,37308313,441,109.77,6951528,18.54,0.1349454820252618,
20240429 042232.381,5053,37320976,354,67.99,6953773,19.07,0.132885067704942,
20240429 042236.315,5054,37324911,377,76.28,6954520,19.07,0.1305142260506395,
20240429 042251.120,5055,37339719,371,73.82,6957318,19.61,0.11140199409569432,
20240429 042300.853,5056,37349452,595,212.63,6959186,18.0,0.12392034400287495,
20240429 042307.588,5057,37356189,611,211.89,6960512,18.54,0.11854942918449848,
20240429 042321.124,5058,37369729,575,187.3,6962973,18.54,0.10830012129613585,
20240429 042329.271,5059,37377875,536,160.18,6964487,18.54,0.1056859015007398,
20240429 042330.096,5060,37378702,433,104.37,6964681,18.54,0.11385242448737946,
20240429 042337.266,5061,37385874,455,117.03,6965991,18.0,0.12895904260806768,
20240429 042344.711,5062,37393321,408,90.57,6967499,18.0,0.13825521913452232,
20240429 042355.058,5063,37403668,531,160.62,6969365,18.54,0.1269954154655017,
20240429 042410.238,5064,37418853,384,80.08,6972198,19.07,0.12639348820748755,
20240429 042430.103,5065,37438723,345,64.98,6975938,19.07,0.11204481792717087,
20240429 042430.305,5066,37438925,134,24.82,6975943,18.75,0.12089413300772514,
20240429 042442.585,5067,37451206,527,155.96,6978349,18.54,0.12275812965713655,
20240429 042449.718,5068,37458342,412,92.93,6979675,18.54,0.12430544333536366,
20240429 042457.061,5069,37465687,335,61.77,6980987,19.61,0.11498878859311217,
20240429 042509.139,5070,37477767,394,84.01,6983220,18.54,0.10884590684967291,
20240429 042525.712,5071,37494343,391,82.35,6986403,19.07,0.0990089207037554,
20240429 042544.550,5072,37512989,390,82.7,6989769,18.54,0.09133087348847405,
20240429 042552.600,5073,37521238,366,72.41,6991455,19.61,0.09769250307731385,
20240429 042559.092,5074,37527731,348,65.64,6992578,19.61,0.11237343941386013,
20240429 042628.252,5075,37556895,575,187.3,6997968,18.0,0.08478384359076534,
20240429 042635.312,5076,37563958,352,66.89,6999294,18.0,0.08870989204006138,
20240429 042647.116,5077,37575763,480,130.21,7001528,19.07,0.08518032675173343,
20240429 042651.702,5078,37580352,345,64.98,7002472,18.54,0.08722882738287349,
20240429 042653.971,5079,37582621,384,80.08,7002849,18.0,0.0953907203907204,
20240429 042725.172,5080,37613830,268,46.26,7008638,19.61,0.08371002846140968,
20240429 042730.979,5081,37619636,465,122.12,7009755,18.54,0.09395935318381268,
20240429 042749.088,5082,37637748,425,99.48,7013145,18.54,0.08584575235217362,
20240429 042749.136,5083,37637791,422,97.97,7013150,18.54,0.09087274181236596,
20240429 042749.623,5084,37638285,399,87.3,7013342,19.29,0.12289390569121678,
20240429 042805.263,5085,37653928,327,59.28,7016145,19.61,0.11117163789174107,
20240429 042805.635,5086,37654299,505,145.23,7016335,18.54,0.12735770959895057,
20240429 042807.248,5087,37655913,387,81.05,7016528,18.0,0.1323696820480237,
20240429 042807.519,5088,37655989,304,53.73,7016533,18.54,0.13596562788926958,
20240429 042808.003,5089,37656644,384,80.08,7016724,18.54,0.23347575354299455,
20240429 042808.047,5090,37656684,376,76.43,7016729,18.54,0.269774468544297,
20240429 042808.277,5091,37656942,391,82.35,7016734,18.54,0.5211318984835062,
20240429 042817.252,5092,37665920,515,147.53,7018415,18.54,0.3556693697538768,
20240429 042819.706,5093,37668373,428,101.58,7018982,19.07,0.33241365555297014,
20240429 042835.110,5094,37683781,366,72.41,7021784,18.54,0.335042047776996,
20240429 042838.973,5095,37687644,536,160.18,7022537,18.54,0.2999580058791769,
20240429 042848.949,5096,37697624,391,82.35,7024424,18.54,0.23980240282007625,
20240429 042855.609,5097,37704285,425,99.48,7025733,18.0,0.2079434393844874,
20240429 042907.100,5098,37715777,376,76.43,7027787,19.07,0.16921332724165355,
20240429 042909.067,5099,37717745,318,57.28,7028166,18.54,0.16388069485414616,
20240429 042928.940,5100,37737622,368,72.93,7031877,19.07,0.12397257726590878,
20240429 042932.893,5101,37741576,344,64.67,7032628,18.54,0.13220343464523207,
20240429 042948.169,5102,37756855,440,109.25,7035415,18.0,0.11304161061686807,
20240429 042951.859,5103,37760545,472,125.87,7036169,18.0,0.13029485726198387,
20240429 043009.494,5104,37777988,353,67.64,7039359,18.54,0.11047160327437831,
20240429 043014.493,5105,37783186,361,70.62,7040481,19.07,0.11689890582624148,
20240429 043020.541,5106,37789235,252,43.42,7041604,19.61,0.1177412518249894,
20240429 043028.516,5107,37797211,274,47.52,7043097,19.61,0.12282598015132161,
20240429 043029.841,5108,37798537,415,95.0,7043287,18.54,0.12380221358357887,
20240429 043036.894,5109,37805590,716,337.96,7044598,18.0,0.14715837183977398,
20240429 043037.096,5110,37805791,504,143.61,7044603,18.54,0.15575596155942867,
20240429 043041.541,5111,37810238,353,67.64,7045544,18.32,0.18736416098328712,
20240429 043041.851,5112,37810547,463,119.23,7045550,18.54,0.20003200512081934,
20240429 043044.826,5113,37813525,371,73.82,7046118,18.54,0.28302954828484095,
20240429 043048.120,5114,37816819,368,72.93,7046678,19.07,0.2973800814821423,
20240429 043051.219,5115,37819920,398,85.63,7047240,18.54,0.3259664906447617,
20240429 043054.543,5116,37823244,334,61.44,7047991,18.86,0.38421639067122604,
20240429 043106.538,5117,37835241,408,90.57,7050225,19.07,0.27250183938741585,
20240429 043108.562,5118,37837265,384,80.08,7050605,19.07,0.3157761778451434,
20240429 043109.544,5119,37838247,385,80.11,7050796,18.54,0.3081854043392505,
20240429 043115.041,5120,37843746,384,80.08,7051735,18.54,0.29850746268656714,
20240429 043116.821,5121,37845524,492,134.92,7052114,18.0,0.2859593937660852,
20240429 043123.017,5122,37851723,355,68.3,7053241,19.07,0.2618417951873478,
