0.2.3, Dave_50_8_-1_2, 210, 10, 5.0
comp_time,event,arduino_time,adc,sipm,dead_time,temp,win_f,median_f
20240429 082138.262,6931,51669875,391,82.35,9641036,18.0,0.16834733421996262,
20240429 082139.618,6932,51671231,542,168.67,9641414,18.0,0.1684834801947669,
20240429 082152.611,6933,51684228,414,93.93,9643876,18.0,0.14359769669294506,
20240429 082152.845,6934,51684460,536,160.18,9643881,18.0,0.1477148512511448,
20240429 082201.128,6935,51692744,732,451.17,9645397,18.0,0.13300879188114334,
20240429 082205.149,6936,51696769,412,92.93,9646158,18.0,0.1470609861909734,
20240429 082209.569,6937,51701189,231,39.55,9647098,18.0,0.1599769633172823,
20240429 082229.212,6938,51720836,409,91.12,9650628,18.0,0.12684077677291697,
20240429 082239.939,6939,51731564,371,73.82,9652688,18.0,0.15540740050041185,
20240429 082240.288,6940,51731913,423,97.36,9652693,18.0,0.1612227130558153,
20240429 082242.128,6941,51733754,384,80.08,9653070,18.0,0.15997440409534475,
20240429 082249.013,6942,51740640,396,85.28,9654383,18.0,0.17729867735186694,
20240429 082304.251,6943,51755882,385,80.11,9657185,18.0,0.14004425398425902,
20240429 082305.332,6944,51756962,163,28.2,9657378,18.0,0.15575353560525826,
20240429 082306.261,6945,51757892,371,73.82,9657568,18.0,0.16363398350569447,
20240429 082307.967,6946,51759598,352,66.89,9657945,18.0,0.17123874105277578,
20240429 082317.976,6947,51769610,369,73.42,9659809,18.0,0.20506931342793863,
20240429 082318.551,6948,51769989,348,65.64,9659814,18.0,0.25898684346835177,
20240429 082323.940,6949,51775574,428,101.58,9660940,18.54,0.22908457802620727,
20240429 082347.130,6950,51798768,448,112.41,9665265,18.0,0.1538414202639919,
20240429 082402.188,6951,51813829,376,76.43,9668095,18.0,0.1366586949094636,
20240429 082414.894,6952,51826539,236,40.44,9670534,18.0,0.1415568421499653,
20240429 082445.993,6953,51857644,376,76.43,9676295,18.0,0.0993433405191683,
20240429 082450.977,6954,51862628,608,202.86,9677233,18.0,0.09549639023644907,
20240429 082510.157,6955,51881814,364,71.71,9680835,18.0,0.08183975775431705,
20240429 082510.871,6956,51882527,387,81.05,9681026,18.0,0.08857788210283893,
20240429 082539.024,6957,51910686,284,49.41,9686272,18.0,0.07118805749147522,
20240429 082550.946,6958,51922611,368,72.93,9688515,18.21,0.06802443437682816,
20240429 082600.895,6959,51932561,280,48.67,9690391,18.0,0.0747579710686652,
20240429 082613.274,6960,51944943,423,97.36,9692631,18.0,0.076285797110294,
20240429 082615.010,6961,51946680,327,59.28,9693009,18.0,0.08325285557294615,
20240429 082619.946,6962,51951617,348,65.64,9693945,18.54,0.10643619682181515,
20240429 082625.671,6963,51957343,547,162.22,9695066,18.0,0.10560331171985553,
20240429 082629.850,6964,51961523,335,61.77,9695827,18.0,0.12548153539206705,
20240429 082631.294,6965,51962966,453,113.81,9696019,18.0,0.12434253882595775,
20240429 082635.209,6966,51966883,409,91.12,9696774,18.0,0.17798344753937884,
20240429 082644.160,6967,51975836,403,88.99,9698461,18.0,0.1879204720562258,
20240429 082708.282,6968,51999963,423,97.36,9702947,18.0,0.14839657500704884,
20240429 082712.088,6969,52003769,384,80.08,9703698,18.0,0.1700275444622029,
20240429 082712.825,6970,52004506,415,95.0,9703889,18.0,0.17296549338406988,
20240429 082715.716,6971,52007396,432,101.61,9704454,18.0,0.1793078716155639,
20240429 082717.303,6972,52008984,551,164.56,9704649,18.0,0.19367833901456463,
20240429 082724.755,6973,52016439,262,45.24,9706164,18.0,0.18213277479282397,
20240429 082727.929,6974,52019613,384,80.08,9706726,18.0,0.17656925929195727,
20240429 082734.775,6975,52026461,478,129.43,9708039,18.0,0.1678810059429876,
20240429 082736.099,6976,52027785,339,62.98,9708232,18.0,0.19253354897090819,
20240429 082741.214,6977,52032902,377,76.28,9709170,18.0,0.3036560184622859,
20240429 082800.280,6978,52051971,353,67.64,9712726,18.0,0.20750332005312086,
20240429 082811.289,6979,52062982,344,64.67,9714776,18.0,0.17104542966611933,
20240429 082827.985,6980,52079682,423,97.36,9717943,18.0,0.13837191603592133,
20240429 082828.693,6981,52080389,435,104.92,9718134,18.0,0.14007564084605686,
20240429 082831.943,6982,52083641,368,72.93,9718701,18.0,0.14883610168482467,
20240429 082910.219,6983,52121924,226,38.63,9725816,18.0,0.09776126698602013,
20240429 082913.700,6984,52125405,329,59.91,9726566,18.0,0.10108668182966894,
20240429 082913.742,6985,52125448,444,109.09,9726571,18.0,0.1024138955173438,
20240429 082914.769,6986,52126475,412,92.93,9726764,18.0,0.10688899577788466,
20240429 082914.992,6987,52126698,402,87.25,9726769,18.0,0.1338473069921833,
20240429 082924.153,6988,52135862,96,21.67,9728453,18.0,0.137241985068072,
20240429 082926.805,6989,52138512,487,132.65,9729012,18.0,0.17001020061203673,
20240429 082951.818,6990,52163533,78,19.92,9733719,18.54,0.12030075187969924,
20240429 082952.097,6991,52163812,368,72.93,9733724,18.0,0.12475983731317215,
20240429 082954.038,6992,52165752,334,61.44,9734102,18.0,0.2282115064241539,
20240429 083000.188,6993,52171901,435,104.92,9735222,18.0,0.21510927551196007,
20240429 083005.147,6994,52176864,396,85.28,9736168,18.0,0.19453360568038128,
20240429 083021.947,6995,52193667,408,90.57,9739351,18.54,0.1488582571675251,
20240429 083028.178,6996,52199899,408,90.57,9740477,18.0,0.13663815483835706,
20240429 083031.019,6997,52202741,399,87.3,9741043,18.0,0.14955283701731822,
20240429 083059.192,6998,52230921,384,80.08,9746281,18.0,0.10824033684392825,
20240429 083101.456,6999,52232996,408,90.57,9746659,18.0,0.1435997587524053,
20240429 083109.858,7000,52241588,391,82.35,9748344,18.54,0.12859916924936665,
20240429 083115.218,7001,52246949,512,144.44,9749289,18.0,0.1231830500123183,
20240429 083117.798,7002,52249529,547,162.22,9749861,18.0,0.12884937508053085,
20240429 083124.137,7003,52255869,412,92.93,9751003,18.0,0.126598303582732,
20240429 083126.233,7004,52257966,353,67.64,9751381,18.0,0.15555486420060355,
20240429 083146.033,7005,52277769,515,147.53,9755103,18.0,0.12844390212574658,
20240429 083153.741,7006,52285480,423,97.36,9756617,18.0,0.12088682575372937,
20240429 083158.631,7007,52290371,361,70.62,9757557,18.0,0.168239707935867,
20240429 083204.226,7008,52295966,376,76.43,9758496,18.0,0.15931177314003503,
20240429 083205.102,7009,52296844,312,55.68,9758687,18.54,0.18101513286510754,
20240429 083226.092,7010,52317839,61,17.6,9762596,19.07,0.14109546519174876,
20240429 083231.078,7011,52322825,335,61.77,9763524,18.54,0.13646288209606985,
20240429 083240.945,7012,52332693,415,95.0,9765389,18.54,0.13019477137798144,
20240429 083242.619,7013,52334368,275,47.73,9765768,19.07,0.13091404184012778,
20240429 083253.590,7014,52345340,402,87.25,9767816,18.54,0.14802315082078837,
20240429 083258.934,7015,52350686,312,55.68,9768756,18.54,0.15339070145567776,
20240429 083300.939,7016,52352692,364,71.71,9769133,18.54,0.16049303460229827,
20240429 083302.822,7017,52354575,389,81.58,9769512,18.54,0.17066011331831527,
20240429 083317.841,7018,52369597,332,61.17,9772323,18.54,0.13747783169963843,
20240429 083317.957,7019,52369714,391,82.35,9772328,18.0,0.19280825219319386,
20240429 083321.140,7020,52372897,334,61.44,9772894,19.07,0.19975230713914746,
20240429 083322.896,7021,52374652,300,52.79,9773270,18.0,0.23837334032561797,
20240429 083329.828,7022,52381586,376,76.43,9774574,18.0,0.2118240166070029,
20240429 083339.095,7023,52390855,455,117.03,9776263,19.07,0.21975607076145479,
20240429 083339.801,7024,52391561,440,109.25,9776455,18.0,0.24469620965571245,
20240429 083345.878,7025,52397640,334,61.44,9777577,19.07,0.22252386568459467,
20240429 083356.765,7026,52408529,345,64.98,9779624,18.54,0.18538086498711603,
20240429 083357.604,7027,52409368,287,50.23,9779815,18.54,0.25149007871639467,
20240429 083405.166,7028,52416932,295,51.75,9781121,18.0,0.2118240166070029,
20240429 083415.884,7029,52427653,319,57.64,9783173,18.54,0.1826684202835014,
20240429 083425.099,7030,52436869,335,61.77,9784851,19.07,0.16076395029178656,
20240429 083438.540,7031,52450313,415,95.0,9787458,18.0,0.14553498661078124,
20240429 083443.746,7032,52455520,391,82.35,9788398,18.0,0.15467664846638104,
20240429 083446.663,7033,52458437,344,64.67,9788961,19.07,0.14956178397295924,
20240429 083447.839,7034,52459613,462,120.87,9789152,18.0,0.16139184325624184,
20240429 083511.765,7035,52483544,504,143.61,9793668,18.0,0.13333333333333333,
20240429 083512.846,7036,52484625,312,55.68,9793862,19.61,0.13290449483001515,
20240429 083525.418,7037,52497201,248,42.69,9796282,19.61,0.12460748641778399,
20240429 083550.100,7038,52521885,608,202.86,9800750,18.54,0.10613908465653393,
20240429 083555.101,7039,52526888,448,112.41,9801697,18.54,0.11110864203017712,
20240429 083611.699,7040,52543489,467,121.56,9804895,18.54,0.1073433592030829,
20240429 083612.133,7041,52543925,369,73.42,9804900,19.07,0.11313881000599636,
20240429 083620.685,7042,52552479,357,68.97,9806587,18.54,0.10635808640530939,
20240429 083627.176,7043,52558970,371,73.82,9807704,18.54,0.1006674250279352,
20240429 083629.141,7044,52560936,399,87.3,9808084,18.0,0.1292390405293631,
20240429 083629.689,7045,52561483,440,109.25,9808276,19.07,0.13013547102533737,
